,county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
10,Adams,ID,44.89333571,-116.4545247,3946.0,2586.0,1941.0,591.0,0.7509999999999999,0.22899999999999998,65.0,2.0,2021.0,1925.0,3.3,92.7,0.3,1.2,0.0,0.2,42727.0,24315.0,13.8,33.1,19.4,21.2,13.9,12.5,69.0,13.1,0.8,4.4,1.8,10.9,24.1,1539.0,65.4,22.0,12.5,0.0,8.7
11,Adams,IL,39.98815591,-91.18786813,66787.0,33434.0,24131.0,8569.0,0.722,0.256,2223.0,25.0,32698.0,34089.0,1.5,92.0,3.9,0.2,0.8,0.1,48454.0,27256.0,13.1,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17.0,32243.0,83.1,10.6,6.1,0.1,5.5
12,Adams,IN,40.7457653,-84.93671406,35018.0,14238.0,10685.0,3236.0,0.75,0.22699999999999998,704.0,8.0,17361.0,17657.0,4.4,93.7,0.9,0.0,0.4,0.0,48290.0,21534.0,18.9,24.2,15.9,19.6,13.9,26.3,74.3,16.7,0.0,2.6,1.9,4.5,22.8,14954.0,83.1,8.2,8.1,0.6,5.2
13,Adams,MS,31.47669768,-91.35326037,31583.0,12268.0,5222.0,6914.0,0.426,0.564,1122.0,45.0,15680.0,15903.0,8.4,36.9,52.8,0.2,0.6,0.0,30359.0,17721.0,34.2,30.5,20.6,23.6,13.0,12.3,87.2,6.5,0.7,0.6,1.2,3.7,18.9,10190.0,75.2,18.2,6.4,0.1,10.9
14,Adams,ND,46.09686891,-102.5285397,2368.0,1269.0,981.0,258.0,0.773,0.203,91.0,0.0,1168.0,1200.0,0.5,93.0,1.6,1.1,2.6,0.0,54700.0,35933.0,9.2,44.6,10.7,15.0,17.5,12.2,73.9,9.4,0.6,6.0,2.9,7.3,17.3,1275.0,73.7,10.6,15.2,0.5,1.6
15,Adams,NE,40.52449420000001,-98.50117804,31564.0,14602.0,10085.0,4213.0,0.691,0.289,922.0,15.0,15981.0,15583.0,9.4,86.9,0.6,0.1,1.3,0.0,51721.0,28085.0,12.4,33.4,19.4,20.4,10.1,16.7,83.0,9.3,0.7,1.8,1.3,3.9,15.3,15890.0,78.0,15.1,6.7,0.1,4.2
16,Adams,OH,38.84541072,-83.4718964,27926.0,11905.0,9660.0,2130.0,0.8109999999999999,0.179,270.0,6.0,13960.0,13966.0,1.0,96.6,0.4,0.6,0.2,0.0,36320.0,20248.0,23.8,28.3,18.9,16.7,13.6,22.5,80.8,11.5,0.5,1.3,1.2,4.8,36.5,10124.0,79.1,13.0,7.7,0.2,7.5
17,Adams,PA,39.87140411,-77.21610347,101589.0,56627.0,37563.0,18250.0,0.6629999999999999,0.322,1184.0,31.0,50055.0,51534.0,6.8,89.5,1.4,0.0,0.7,0.0,62661.0,29685.0,8.8,30.1,16.2,22.1,11.0,20.6,82.3,9.1,0.3,3.7,0.9,3.8,27.6,50561.0,83.4,10.7,5.6,0.2,4.9
18,Adams,WA,46.98299757,-118.56017340000001,19261.0,5109.0,3449.0,1562.0,0.675,0.306,935.0,11.0,9750.0,9511.0,62.3,35.2,0.3,0.4,1.0,0.0,48131.0,18415.0,23.1,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757.0,81.2,14.6,3.8,0.3,5.9
19,Adams,WI,43.96974651,-89.76782777,20111.0,11818.0,7362.0,4329.0,0.623,0.366,587.0,5.0,10770.0,9341.0,3.8,90.7,2.7,0.6,0.5,0.0,44003.0,24874.0,13.0,23.6,22.7,21.8,12.5,19.4,78.5,12.2,0.1,1.5,1.7,6.0,28.3,7530.0,80.7,11.9,7.3,0.2,8.1
20,Addison,VT,44.03217337,-73.14130877,36825.0,870.0,379.0,445.0,0.436,0.511,124.0,2.0,18214.0,18611.0,2.2,93.0,0.9,0.3,1.9,0.0,61875.0,31051.0,7.8,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872.0,77.9,10.3,11.5,0.3,4.4
21,Aiken,SC,33.54338026,-81.63645384,165707.0,85185.0,51589.0,32275.0,0.606,0.379,5140.0,87.0,80260.0,85447.0,5.5,66.7,24.5,0.2,1.0,0.0,47713.0,26222.0,16.7,34.0,16.9,22.9,10.7,15.5,84.6,10.4,0.2,1.0,0.9,2.9,24.9,70753.0,78.1,16.4,5.0,0.4,9.0
22,Aitkin,MN,46.60962049,-93.41168259999999,15841.0,10010.0,6258.0,3607.0,0.625,0.36,232.0,3.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,45860.0,26883.0,12.1,30.7,19.9,23.1,13.2,13.0,79.4,9.1,0.5,4.1,1.5,5.4,26.0,6274.0,75.8,15.7,8.4,0.1,6.2
23,Alachua,FL,29.67866525,-82.35928158,259865.0,142784.0,50891.0,89527.0,0.35600000000000004,0.627,10706.0,78.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,45478.0,26431.0,23.3,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466.0,70.2,25.5,4.2,0.1,6.6
24,Alamance,NC,36.0434701,-79.39976137,157844.0,84710.0,45490.0,38186.0,0.537,0.451,5409.0,88.0,75078.0,82766.0,12.3,65.0,18.9,0.3,1.5,0.0,44281.0,25157.0,17.6,33.0,17.4,23.0,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906.0,81.0,13.2,5.6,0.2,6.0
25,Alameda,CA,37.64629437,-121.8929271,1629615.0,750128.0,131985.0,602851.0,0.17600000000000002,0.804,23994.0,464.0,799649.0,829966.0,22.5,32.2,10.7,0.3,28.7,0.8,85743.0,41363.0,11.3,48.0,16.0,20.4,6.4,9.2,62.0,10.1,14.6,3.7,3.6,6.0,32.5,826310.0,79.3,13.2,7.3,0.1,6.0
26,Alamosa,CO,37.57250606,-105.7885451,16345.0,7519.0,3676.0,3624.0,0.489,0.48200000000000004,360.0,9.0,8085.0,8260.0,45.8,48.6,1.6,1.3,1.0,0.2,36315.0,19217.0,27.8,30.6,22.6,22.3,13.1,11.4,75.8,15.7,0.0,4.2,1.4,2.9,14.6,6593.0,73.1,18.2,6.3,2.3,9.9
27,Albany,NY,42.60060306,-73.97723916,308580.0,121529.0,45570.0,73189.0,0.375,0.602,3750.0,140.0,149287.0,159293.0,5.7,73.0,11.7,0.1,6.4,0.0,62293.0,35278.0,12.4,44.7,17.3,25.1,5.5,7.5,77.0,7.5,5.9,4.6,1.6,3.5,20.4,158961.0,71.3,24.5,4.2,0.1,5.3
28,Albany,WY,41.65498705,-105.72354150000001,37944.0,18617.0,8579.0,9092.0,0.461,0.488,1562.0,4.0,19883.0,18061.0,9.3,82.9,1.3,0.7,2.9,0.0,45816.0,26034.0,23.0,42.1,20.8,19.2,10.1,7.8,70.1,9.7,2.1,8.8,4.7,4.7,12.7,21115.0,61.4,32.8,5.7,0.1,4.8
29,Albemarle,VA,38.02080697,-78.55481085,105105.0,64284.0,20804.0,42466.0,0.324,0.6609999999999999,1612.0,24.0,50283.0,54822.0,5.7,77.2,9.5,0.2,5.0,0.0,72265.0,39273.0,9.8,54.0,15.5,18.7,6.2,5.6,76.9,8.6,1.8,3.4,1.8,7.6,21.9,50689.0,68.0,24.5,7.2,0.3,3.2
30,Alcona,MI,44.6846864,-83.59507875,10413.0,7063.0,4848.0,2142.0,0.6859999999999999,0.303,55.0,3.0,5247.0,5166.0,1.4,96.0,0.3,0.5,0.4,0.0,39424.0,24463.0,14.9,23.5,20.9,22.9,13.2,19.6,80.8,9.6,0.2,1.8,2.3,5.3,24.0,3357.0,78.3,14.0,7.5,0.2,9.3
31,Alcorn,MS,34.88084463,-88.57996173,37242.0,15639.0,12689.0,2741.0,0.8109999999999999,0.175,1130.0,12.0,18345.0,18897.0,3.0,83.2,11.7,0.0,0.3,0.0,38919.0,20527.0,19.6,29.2,14.9,22.8,10.6,22.5,85.9,10.6,0.3,1.0,0.5,1.7,22.4,14884.0,81.1,13.9,5.0,0.1,8.6
32,Alexander,IL,37.18049267,-89.32910838,6776.0,5631.0,3056.0,2522.0,0.5429999999999999,0.44799999999999995,154.0,2.0,3258.0,3518.0,1.0,61.8,34.6,0.6,0.2,0.0,31014.0,18564.0,33.4,26.8,27.8,25.9,4.9,14.6,87.7,5.8,0.8,1.7,1.4,2.6,27.3,2164.0,75.0,20.6,4.4,0.0,8.2
33,Alexander,NC,35.922379600000006,-81.17751948,37159.0,20120.0,15806.0,4113.0,0.7859999999999999,0.204,975.0,10.0,18797.0,18362.0,4.6,87.0,5.9,0.2,1.2,0.1,44523.0,22655.0,14.7,26.8,12.6,20.6,9.4,30.7,84.9,8.9,0.0,0.8,2.6,2.8,25.6,16393.0,83.2,10.5,6.2,0.2,6.7
35,Alfalfa,OK,36.73090616,-98.32408495,5877.0,2262.0,1978.0,232.0,0.8740000000000001,0.10300000000000001,132.0,0.0,3502.0,2375.0,5.0,76.2,2.4,1.9,0.0,0.0,57432.0,28007.0,11.2,31.6,15.8,18.9,20.0,13.8,77.2,11.9,0.0,4.9,2.5,3.5,18.8,2238.0,64.7,21.2,13.8,0.3,4.5
36,Alger,MI,46.41292944,-86.60260122,9254.0,5135.0,3014.0,2053.0,0.5870000000000001,0.4,121.0,1.0,5088.0,4166.0,1.4,84.2,7.2,3.3,0.1,0.0,42647.0,21771.0,13.0,27.9,23.2,23.1,8.1,17.7,72.9,11.1,2.0,4.3,1.8,8.0,21.3,3160.0,77.1,17.6,5.3,0.0,6.9
37,Allamakee,IA,43.28383218,-91.37860922,13940.0,7459.0,4733.0,2575.0,0.635,0.345,431.0,9.0,7098.0,6842.0,6.1,91.2,0.9,0.1,0.3,0.0,47895.0,27377.0,11.4,29.8,15.3,17.5,17.5,19.9,74.1,11.1,0.2,5.0,2.1,7.5,24.3,6881.0,77.8,10.3,10.8,1.1,3.3
38,Allegan,MI,42.59147037,-85.89102866,114145.0,67182.0,41381.0,24447.0,0.616,0.364,1503.0,7.0,56997.0,57148.0,7.2,88.7,1.3,0.5,0.6,0.0,58487.0,27172.0,10.8,30.3,14.7,20.1,12.4,22.5,86.0,7.6,0.3,1.4,0.7,4.1,23.9,54028.0,86.3,7.7,5.9,0.2,3.6
39,Allegany,MD,39.62357628,-78.69280486,72591.0,29130.0,20213.0,8464.0,0.6940000000000001,0.29100000000000004,775.0,24.0,37892.0,34699.0,1.7,87.3,8.0,0.2,0.8,0.0,42771.0,22355.0,16.8,29.9,23.4,24.8,8.8,13.1,82.5,9.7,0.5,4.4,1.2,1.7,20.9,28738.0,73.6,22.6,3.7,0.0,9.0
40,Allegany,NY,42.25748406,-78.02750466,47400.0,17271.0,12670.0,4188.0,0.7340000000000001,0.242,348.0,8.0,24013.0,23387.0,1.5,94.5,1.4,0.3,1.2,0.0,45359.0,22377.0,16.5,31.4,22.2,19.2,10.5,16.6,75.1,7.8,0.6,12.4,1.3,2.8,21.4,20132.0,73.6,19.3,6.8,0.3,7.3
41,Alleghany,NC,36.49360862,-81.12857041,10935.0,6040.0,4501.0,1480.0,0.745,0.245,316.0,1.0,5445.0,5490.0,9.4,87.3,2.4,0.1,0.2,0.0,38944.0,21153.0,21.0,29.7,18.0,22.6,15.3,14.4,82.2,10.5,0.2,2.5,0.4,4.2,25.0,4447.0,70.6,16.9,12.4,0.2,5.7
42,Alleghany,VA,37.78636074,-80.00222498,15489.0,8191.0,5859.0,2243.0,0.715,0.27399999999999997,154.0,4.0,7586.0,7903.0,1.4,91.9,5.5,0.0,0.1,0.1,46020.0,25952.0,19.3,28.3,16.4,22.4,13.2,19.7,86.6,7.7,0.5,0.7,1.7,2.7,24.6,6225.0,81.6,12.2,6.0,0.2,4.4
43,Allegheny,PA,40.46809875,-79.98167747,1229605.0,707837.0,275955.0,421004.0,0.39,0.595,15940.0,419.0,593177.0,636428.0,2.0,79.1,12.7,0.1,3.5,0.0,56333.0,35280.0,12.5,45.0,16.8,23.7,6.1,8.3,72.0,8.4,9.2,4.2,1.5,4.7,26.7,622670.0,86.7,8.6,4.6,0.1,5.9
44,Allen,IN,41.09194313,-85.06800636,367747.0,168964.0,91885.0,72825.0,0.544,0.431,9638.0,237.0,179414.0,188333.0,7.2,74.6,11.3,0.2,3.5,0.0,51091.0,26932.0,14.7,33.7,16.5,24.3,7.6,17.9,84.3,8.7,0.8,1.2,0.9,4.0,21.3,176365.0,87.2,8.6,4.1,0.1,6.3
45,Allen,KS,37.88582951,-95.30030847,12752.0,5842.0,4155.0,1559.0,0.711,0.267,112.0,1.0,6318.0,6434.0,3.3,90.7,1.5,0.1,0.6,0.1,43031.0,23011.0,14.2,27.5,15.6,20.7,8.6,27.5,80.9,10.7,0.9,3.5,0.7,3.3,17.4,6006.0,75.3,15.9,8.4,0.4,3.6
46,Allen,KY,36.75197631,-86.19457544,20628.0,9363.0,7586.0,1642.0,0.81,0.175,566.0,11.0,10227.0,10401.0,1.9,95.4,1.9,0.0,0.2,0.0,40598.0,21652.0,20.0,24.5,16.6,21.8,13.5,23.7,77.9,11.0,0.2,2.5,1.6,6.9,24.1,8443.0,74.8,13.9,11.3,0.1,7.5
47,Allen,OH,40.77285242,-84.10802343,104157.0,46362.0,32052.0,13611.0,0.691,0.294,2580.0,80.0,52614.0,51543.0,2.9,81.2,11.7,0.2,0.7,0.0,47905.0,24551.0,15.0,28.2,18.4,21.8,8.5,23.2,86.4,8.1,0.7,1.6,1.2,2.0,18.9,48351.0,86.1,9.8,4.0,0.1,7.2
48,Allen,LA,30.65385745,-92.82442028,25667.0,9810.0,7574.0,2108.0,0.772,0.215,1856.0,63.0,14542.0,11125.0,4.9,71.1,19.0,1.8,0.7,0.0,42176.0,20103.0,16.6,29.1,23.1,21.3,15.0,11.5,84.3,9.8,0.7,0.7,2.2,2.3,28.3,8577.0,72.8,23.8,3.2,0.2,9.4
49,Allendale,SC,32.98837386,-81.35321066,9402.0,3593.0,835.0,2718.0,0.23199999999999998,0.7559999999999999,424.0,7.0,4952.0,4450.0,3.1,22.5,73.5,0.5,0.0,0.0,23331.0,13439.0,30.4,20.3,24.0,18.8,13.9,22.9,80.4,10.7,2.2,4.1,1.0,1.6,28.3,2668.0,71.0,23.4,5.7,0.0,17.3
50,Alpena,MI,45.03477666,-83.62212411,28730.0,16966.0,10686.0,6000.0,0.63,0.354,180.0,14.0,14169.0,14561.0,1.3,96.0,0.5,0.4,0.4,0.1,40954.0,24030.0,15.0,29.5,19.8,26.1,10.0,14.6,82.9,8.4,0.7,2.7,1.2,3.9,16.9,12665.0,83.0,10.4,6.4,0.2,6.4
51,Alpine,CA,38.59678594,-119.82235940000001,1203.0,736.0,238.0,473.0,0.32299999999999995,0.643,8.0,0.0,664.0,539.0,9.7,64.6,1.5,20.6,0.7,0.0,63438.0,27448.0,19.8,38.2,21.9,18.7,12.8,8.3,62.1,13.2,0.0,9.1,1.6,14.0,21.9,374.0,58.6,30.2,11.2,0.0,14.6
52,Amador,CA,38.44583082,-120.65696000000001,37306.0,22282.0,13571.0,8147.0,0.609,0.366,347.0,16.0,20005.0,17301.0,13.2,79.3,2.0,0.7,1.5,0.2,60636.0,29628.0,10.6,32.7,23.2,24.1,9.9,10.1,80.7,9.2,0.1,2.5,1.1,6.4,32.0,13444.0,63.9,21.0,14.7,0.4,9.3
53,Amelia,VA,37.34081025,-77.98584649,12802.0,7881.0,5390.0,2411.0,0.684,0.306,150.0,6.0,6644.0,6158.0,1.1,72.4,23.7,0.3,0.1,0.0,58535.0,26118.0,13.0,25.8,18.6,27.4,17.2,11.1,86.7,6.0,1.1,1.6,1.8,2.7,38.0,6166.0,76.1,15.8,6.7,1.3,3.3
54,Amherst,VA,37.60308293,-79.14548696,31819.0,17719.0,11020.0,5673.0,0.622,0.32,626.0,6.0,15331.0,16488.0,2.3,75.5,17.6,0.2,0.6,0.0,49677.0,24296.0,13.4,27.9,20.3,24.7,9.8,17.4,82.6,10.6,0.6,1.3,2.3,2.6,24.1,14506.0,78.6,16.2,5.0,0.1,5.6
55,Amite,MS,31.17467303,-90.80501621,12574.0,5974.0,3781.0,2114.0,0.633,0.354,436.0,13.0,6133.0,6441.0,0.2,57.3,42.0,0.0,0.3,0.0,30129.0,19665.0,22.8,24.4,19.2,16.5,19.2,20.6,81.2,12.1,2.2,0.4,1.4,2.7,37.1,4550.0,71.8,17.3,10.2,0.7,10.8
56,Anderson,KS,38.21413251,-95.29272815,7840.0,3720.0,2874.0,765.0,0.773,0.20600000000000002,203.0,0.0,3849.0,3991.0,0.7,95.2,0.2,3.5,0.0,0.0,40986.0,21887.0,13.6,28.4,23.1,17.1,15.0,16.3,77.6,11.8,0.0,2.5,1.4,6.7,24.2,3502.0,72.3,12.0,14.7,1.0,4.2
57,Anderson,KY,38.00671029,-84.99171713,22017.0,13261.0,9651.0,3339.0,0.728,0.252,280.0,1.0,10639.0,11378.0,1.7,94.2,2.4,0.0,0.7,0.0,51681.0,24991.0,12.0,31.8,14.7,27.6,9.4,16.6,86.4,10.7,0.0,0.5,0.2,2.1,26.6,10357.0,69.3,24.1,6.5,0.1,6.3
58,Anderson,SC,34.51828081,-82.63959517,194174.0,96093.0,67565.0,27169.0,0.703,0.28300000000000003,6051.0,209.0,93474.0,100700.0,3.5,77.6,16.0,0.2,0.9,0.0,45551.0,24485.0,15.6,32.3,16.6,23.7,9.9,17.5,86.1,8.4,0.2,1.2,1.2,2.8,22.9,85591.0,80.7,13.4,5.8,0.2,6.7
59,Anderson,TN,36.12684348,-84.19965764,75538.0,35527.0,23163.0,11733.0,0.652,0.33,1869.0,16.0,36803.0,38735.0,2.7,89.6,3.4,0.1,1.4,0.1,47206.0,26972.0,16.3,33.6,19.0,23.6,10.1,13.7,86.8,8.4,0.1,0.8,0.9,3.0,23.3,32213.0,76.1,17.0,6.8,0.1,6.9
60,Anderson,TX,31.81534745,-95.65354823,57747.0,19155.0,15062.0,3934.0,0.7859999999999999,0.205,2979.0,39.0,35292.0,22455.0,17.3,59.7,20.9,0.3,0.5,0.0,42313.0,17466.0,15.7,24.4,23.5,23.4,12.9,15.9,85.1,9.9,0.2,0.5,0.7,3.6,23.7,19102.0,73.2,20.4,6.2,0.2,4.3
61,Andrew,MO,39.98492163,-94.80163024,17358.0,9775.0,7256.0,2351.0,0.742,0.24100000000000002,474.0,8.0,8622.0,8736.0,2.3,94.9,1.3,0.1,0.1,0.0,56658.0,28003.0,9.0,35.4,14.9,22.6,10.6,16.5,86.8,6.6,0.0,2.2,0.5,3.8,22.5,8504.0,78.3,16.1,5.4,0.1,4.2
62,Andrews,TX,32.30468633,-102.63765479999999,17577.0,5856.0,4937.0,849.0,0.843,0.145,667.0,10.0,8980.0,8597.0,55.4,41.1,1.5,0.1,0.2,0.1,70753.0,29903.0,11.9,21.3,13.0,24.2,22.7,18.8,79.8,16.8,0.0,0.0,0.8,2.5,19.8,8054.0,85.3,8.7,5.7,0.3,4.5
