county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Barnes ,ND,968,4368,1700,0,0,3
Barnstable ,MA,5281,18165,86370,810,616,4734
Barnwell ,SC,10760,1419,150,0,0,269
Barren ,KY,15741,2965,704,0,0,384
Barron ,WI,6492,10839,7764,0,308,919
Barrow ,GA,15817,4909,3825,108,0,801
Barry ,MI,6020,4330,2681,0,0,526
Barry ,MO,13905,1414,3719,0,0,270
Bartholomew ,IN,21323,9929,4624,0,308,1462
Barton ,KS,4803,4455,9300,0,0,395
Barton ,MO,4497,1792,225,0,0,135
Bartow ,GA,34632,6830,2401,0,120,1189
Bastrop ,TX,13320,4741,8796,0,0,887
Bates ,MO,5582,2365,424,0,0,360
Bath ,KY,3158,1103,33,0,0,676
Bath ,VA,1319,1110,35,0,0,1
Baxter ,AR,14884,2528,2359,0,0,888
Bay ,FL,43852,11220,7744,70,1397,4068
Bay ,MI,18158,4927,33237,0,0,940
Bayfield ,WI,847,2247,3109,0,0,1
Baylor ,TX,2426,440,380,0,0,61
Beadle ,SD,3531,4463,2235,0,0,223
Bear Lake ,ID,75,13,99,0,0,5064
Beaufort ,NC,15678,6693,1020,0,0,395
Beaufort ,SC,24002,15102,16117,140,0,2769
Beauregard Parish,LA,18098,1340,2380,0,0,0
Beaver ,OK,2068,1260,39,0,0,0
Beaver ,PA,11390,23930,46096,2834,812,1367
Beaver ,UT,28,0,152,0,0,4966
Beaverhead ,MT,911,332,650,0,0,1052
Becker ,MN,6732,7474,7400,0,0,218
Beckham ,OK,11873,2072,1125,0,0,1
Bedford ,PA,10654,9640,1780,30,0,240
Bedford ,TN,14794,3449,900,0,0,375
Bedford ,VA,20822,5052,2119,0,0,13
Bedford city,VA,2639,1850,0,0,0,339
Bee ,TX,4749,1439,16118,0,0,387
Belknap ,NH,1315,4819,12810,120,0,793
Bell ,KY,17897,2651,372,0,0,2
Bell ,TX,84720,16861,25366,0,5084,14386
Belmont ,OH,7732,10012,8179,463,0,202
Beltrami ,MN,4471,6591,7200,0,0,713
Ben Hill ,GA,10221,1059,555,0,0,3
Benewah ,ID,1467,158,3479,0,0,585
Bennett ,SD,170,346,792,0,0,164
Bennington ,VT,1005,4490,6742,0,0,693
Benson ,ND,301,1732,3638,0,0,18
Bent ,CO,285,338,1469,0,0,7
Benton ,AR,72566,14839,16757,0,308,4857
Benton ,IN,1114,3149,2708,0,0,0
Benton ,IA,5070,4433,4201,0,0,120
Benton ,MN,4570,4452,10539,0,0,6
Benton ,MS,4692,337,0,0,308,308
Benton ,MO,6253,1842,360,0,0,179
Benton ,OR,6758,4065,7077,160,308,4164
Benton ,TN,6685,1579,212,0,0,1
Benton ,WA,20943,10217,26500,0,800,16145
Benzie ,MI,801,2154,465,0,0,3
Bergen ,NJ,33419,45613,430007,14373,4799,53728
Berkeley ,SC,28148,10346,7244,0,308,2215
Berkeley ,WV,12738,10228,7008,0,0,1888
Berks ,PA,33376,80575,75672,2275,812,3996
Berkshire ,MA,2817,9895,50187,225,0,3647
Bernalillo ,NM,81470,25031,175266,1644,1808,27665
Berrien ,GA,5440,827,285,0,0,0
Berrien ,MI,34679,10538,17231,100,3126,4727
Bertie ,NC,5940,615,76,0,0,24
Bethel Census Area,AK,501,2216,3244,2852,0,198
Bexar ,TX,288534,78855,528827,1004,20456,61554
Bibb ,AL,10159,302,0,0,0,3
Bibb ,GA,50855,16435,6153,200,837,3006
Bienville Parish,LA,6913,997,86,0,0,2
Big Horn ,MT,1770,711,5102,0,0,825
Big Horn ,WY,870,518,458,0,0,3901
