county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Coal ,OK,3230,619,0,0,0,1
Cobb ,GA,196846,71018,76988,1700,4087,15543
Cochise ,AZ,13773,3386,26615,50,0,8384
Cochran ,TX,1531,155,621,0,0,0
Cocke ,TN,13136,1900,240,0,0,3
Coconino ,AZ,10785,3756,6750,150,150,18297
Codington ,SD,4789,8327,6809,0,0,186
Coffee ,AL,25889,3457,1550,0,0,805
Coffee ,GA,15328,1702,1208,0,0,1075
Coffee ,TN,19505,5589,1245,0,0,897
Coffey ,KS,1752,1850,620,0,0,119
Coke ,TX,1685,342,300,0,0,1
Colbert ,AL,29759,3368,1415,0,0,7
Cole ,MO,23002,7247,20145,0,308,1624
Coleman ,TX,4089,1009,700,0,0,0
Coles ,IL,13186,4855,3868,0,0,489
Colfax ,NE,637,1214,4457,0,0,0
Colfax ,NM,2256,1129,3426,0,0,464
Colleton ,SC,11561,4990,650,0,0,787
Collier ,FL,36176,18599,47702,1730,1397,5710
Collin ,TX,184331,59022,111182,190,22994,54475
Collingsworth ,TX,2564,476,150,0,0,0
Colonial Heights city,VA,12828,2425,2880,0,0,1067
Colorado ,TX,2862,2574,6541,0,0,2
Colquitt ,GA,21870,1703,1300,0,0,526
Columbia ,AR,7487,1972,220,0,0,234
Columbia ,FL,18869,3202,1652,0,0,1110
Columbia ,GA,27407,9211,4666,50,0,5385
Columbia ,NY,1329,6636,15375,70,0,513
Columbia ,OR,4269,1342,1377,0,0,2835
Columbia ,PA,5572,16858,8035,120,0,693
Columbia ,WA,583,147,74,0,0,295
Columbia ,WI,9990,9911,11473,0,0,9
Columbiana ,OH,15657,16036,9658,0,0,613
Columbus ,NC,25278,3144,1063,0,0,565
Colusa ,CA,1106,744,9170,0,0,379
Comal ,TX,23540,9578,17828,200,0,2639
Comanche ,KS,581,688,67,0,0,0
Comanche ,OK,44224,8366,4748,15,358,3173
Comanche ,TX,7086,1207,508,0,0,68
Concho ,TX,521,75,400,0,0,1
Concordia Parish,LA,7273,625,396,0,0,1
Conecuh ,AL,4297,981,0,0,0,272
Conejos ,CO,228,45,3510,0,0,2358
Contra Costa ,CA,81120,32693,228400,2435,9980,48553
Converse ,WY,1189,911,1044,0,0,726
Conway ,AR,6533,846,1791,0,0,345
Cook ,GA,6797,974,279,0,0,3
Cook ,IL,432975,202114,1947223,53276,201152,312636
Cook ,MN,1014,1217,432,0,0,1
Cooke ,TX,11800,2153,8715,0,0,546
Cooper ,MO,5123,1932,2117,0,0,157
Coos ,NH,966,2105,12710,26,0,323
Coos ,OR,7351,2380,2658,0,0,2931
Coosa ,AL,4180,577,0,0,0,3
Copiah ,MS,12630,2704,280,0,0,510
Corson ,SD,149,767,1018,0,0,438
Cortland ,NY,2291,4756,6378,0,0,483
Coryell ,TX,23206,3749,3735,0,0,1574
Coshocton ,OH,5996,7619,1350,0,0,149
Costilla ,CO,0,24,3260,0,0,182
Cottle ,TX,1130,177,181,0,0,0
Cotton ,OK,4586,806,35,0,0,0
Cottonwood ,MN,3341,4286,1834,0,0,0
Covington ,AL,20052,2093,291,0,0,273
Covington ,MS,7714,949,0,0,0,293
Covington city,VA,3242,2687,141,0,0,300
Coweta ,GA,40586,9804,5383,0,0,1671
Cowley ,KS,7419,6564,2500,0,0,502
Cowlitz ,WA,18100,3460,9294,20,0,4806
Craig ,OK,7952,1300,190,0,0,156
Craig ,VA,1741,561,64,0,0,3
Craighead ,AR,44184,5408,2470,0,308,1477
Crane ,TX,1419,188,750,0,0,0
Craven ,NC,23673,12740,6394,0,0,1806
Crawford ,AR,25526,3767,1263,0,0,616
Crawford ,GA,965,353,0,0,0,38
Crawford ,IL,4927,1908,538,0,0,129
Crawford ,IN,2613,739,190,0,0,347
Crawford ,IA,6077,1910,2791,0,0,378
Crawford ,KS,7107,4741,6000,0,50,731
Crawford ,MI,861,868,735,0,0,169
Crawford ,MO,6215,737,1134,0,0,8
Crawford ,OH,6514,9303,5812,3,0,442
Crawford ,PA,11029,13872,13272,0,0,759
Crawford ,WI,1169,2829,5150,0,0,237
Creek ,OK,27776,3721,700,0,308,1025
Crenshaw ,AL,7442,875,0,0,0,223
Crisp ,GA,8030,1713,604,0,0,26
Crittenden ,AR,16649,2805,525,0,0,411
Crittenden ,KY,5193,598,238,0,0,0
Crockett ,TN,7678,1973,0,0,0,2
Crockett ,TX,850,262,1350,0,0,0
Crook ,OR,2385,285,1035,0,0,1079
Crook ,WY,628,436,374,0,0,429
Crosby ,TX,2806,498,1826,0,0,2
Cross ,AR,8988,1503,350,0,0,0
Crow Wing ,MN,9073,13487,10751,0,0,587
Crowley ,CO,378,312,1092,0,0,2
Culberson ,TX,441,59,950,0,0,17
Cullman ,AL,53863,3698,4614,0,0,624
Culpeper ,VA,9198,4084,2655,0,0,893
Cumberland ,IL,1826,696,483,0,0,0
Cumberland ,KY,1479,1186,65,0,0,0
Cumberland ,ME,12007,22030,38243,500,924,7187
Cumberland ,NJ,13350,10744,23944,440,1474,4578
Cumberland ,NC,91229,26956,8926,440,408,6165
Cumberland ,PA,30598,44228,36186,1241,2326,11324
Cumberland ,TN,18060,5068,2531,0,0,2210
Cumberland ,VA,2235,563,0,0,0,8
Cuming ,NE,2974,1419,3790,0,0,4
Currituck ,NC,4502,1611,290,25,0,6
Curry ,NM,13955,2070,9861,0,0,984
Curry ,OR,2043,710,1560,0,0,1268
Custer ,CO,703,264,543,0,0,119
Custer ,ID,290,28,248,0,0,1191
Custer ,MT,1594,1699,1580,0,0,483
Custer ,NE,1741,3002,809,0,0,165
Custer ,OK,14315,4164,1261,0,0,607
Custer ,SD,735,1671,368,0,0,10
Cuyahoga ,OH,106477,94977,366464,16456,3342,49641
Dade ,GA,4562,1254,274,0,0,2
Dade ,MO,3969,571,88,3,0,664
Daggett ,UT,0,0,0,0,0,695
Dakota ,MN,57007,55850,112264,1173,1540,6321
Dakota ,NE,1939,3450,4598,0,308,313
Dale ,AL,17979,3712,278,0,0,872
Dallam ,TX,2972,743,760,0,0,166
Dallas ,AL,16764,2438,536,0,30,410
Dallas ,AR,2824,591,36,0,0,64
Dallas ,IA,9492,19020,7733,0,0,747
Dallas ,MO,4722,658,129,0,0,9
Dallas ,TX,615849,166224,446996,8813,84256,147445
Dane ,WI,30727,73128,106036,445,2616,12968
Daniels ,MT,1272,36,425,0,0,0
Danville city,VA,19334,4351,2504,72,3436,4157
Dare ,NC,4023,6410,1747,0,0,452
Darke ,OH,9356,5356,7097,0,0,311
Darlington ,SC,17659,7877,500,0,0,1921
Dauphin ,PA,27374,43691,39739,689,2356,10390
Davidson ,NC,32855,28033,2412,0,0,574
Davidson ,TN,208931,55873,30874,7022,5080,17082
Davie ,NC,10339,7608,2266,0,0,12
Daviess ,IN,11283,3342,2688,0,0,103
Daviess ,KY,40335,7556,18454,0,308,972
Daviess ,MO,3885,1302,92,0,0,352
Davis ,IA,2092,2030,111,0,0,0
Davis ,UT,7928,1135,12782,0,50,230405
Davison ,SD,2961,5004,6054,0,0,179
Dawes ,NE,1173,1450,1205,0,0,358
Dawson ,GA,8060,935,447,0,0,1035
Dawson ,MT,2244,927,1978,0,0,413
Dawson ,NE,3841,5650,4949,0,308,779
Dawson ,TX,6808,884,2068,0,0,6
Day ,SD,578,2494,1808,0,0,0
De Baca ,NM,977,255,705,0,0,48
De Soto Parish,LA,10496,1469,849,0,0,817
De Witt ,IL,3998,1430,1065,0,0,4
Deaf Smith ,TX,6219,1379,8330,0,0,333
Dearborn ,IN,5222,5305,9317,0,0,336
Decatur ,GA,11579,2177,699,0,0,283
Decatur ,IN,3441,4966,6509,0,0,3
Decatur ,IA,1383,630,195,0,0,632
Decatur ,KS,952,1357,342,0,0,0
Decatur ,TN,5215,1013,88,0,0,0
Deer Lodge ,MT,550,483,2600,0,0,555
Defiance ,OH,10104,6394,7984,0,0,3
DeKalb ,AL,32536,3925,2657,0,0,252
DeKalb ,GA,136806,69164,62844,4458,12885,31499
DeKalb ,IL,9843,14719,19447,400,3298,4267
DeKalb ,IN,8313,3556,5295,0,0,1
DeKalb ,MO,2027,964,146,0,0,546
DeKalb ,TN,7534,1320,900,0,0,1
Del Norte ,CA,2682,436,1585,0,0,1259
Delaware ,IN,17042,9876,4171,0,600,1992
Delaware ,IA,755,4016,7494,0,0,188
Delaware ,NY,2951,7325,8538,12,1522,2327
Delaware ,OH,12235,14636,22100,114,0,8872
Delaware ,OK,13399,2031,190,0,0,660
Delaware ,PA,24456,52224,262506,5096,4565,9009
Delta ,CO,4238,1615,3630,96,0,1676
Delta ,MI,3333,5365,13359,0,0,398
Delta ,TX,2888,421,46,0,0,3
Denali Borough,AK,310,0,112,0,0,87
Dent ,MO,7355,459,456,0,0,178
Denton ,TX,167945,33340,44615,120,7826,18928
Denver ,CO,52278,38023,159489,5830,2924,40681
Des Moines ,IA,4211,8031,4521,0,0,654
Deschutes ,OR,17329,4922,11643,26,0,6394
Desha ,AR,6173,856,82,0,0,34
DeSoto ,FL,6786,1736,4300,0,0,222
DeSoto ,MS,59275,9807,5928,0,0,827
Deuel ,NE,451,545,210,0,0,0
Deuel ,SD,834,2108,283,0,0,0
Dewey ,OK,2754,1273,100,0,0,0
Dewey ,SD,489,1370,1201,0,0,450
DeWitt ,TX,3046,1940,5079,0,0,254
Dickens ,TX,1236,160,274,0,0,0
Dickenson ,VA,1707,252,38,0,0,0
Dickey ,ND,1321,1778,808,0,0,0
Dickinson ,IA,2029,6142,4340,0,0,7
Dickinson ,KS,2743,4279,2074,0,0,5
Dickinson ,MI,6051,2150,9336,114,0,270
Dickson ,TN,16818,2051,800,0,0,842
Dillingham Census Area,AK,442,436,578,988,0,58
Dillon ,SC,11799,2592,128,0,0,1155
Dimmit ,TX,1064,208,9100,0,0,216
Dinwiddie ,VA,3678,3485,186,0,0,2
District of Columbia,0,75306,82388,75948,14050,4032,34048
Divide ,ND,76,1179,207,0,0,1
Dixie ,FL,3947,442,164,0,0,188
Dixon ,NE,1016,1778,975,0,0,1
Do..a Ana ,NM,22120,6640,66491,30,618,6705
Doddridge ,WV,963,1163,40,0,0,1
Dodge ,GA,12377,806,328,0,0,9
Dodge ,MN,3379,6569,3819,0,0,122
Dodge ,NE,7095,8717,1698,0,0,708
Dodge ,WI,18757,12363,13437,0,0,265
Dolores ,CO,190,57,73,0,0,21
Doniphan ,KS,1411,1400,623,0,0,184
Donley ,TX,1800,445,90,0,0,0
Dooly ,GA,4201,1075,0,0,0,100
Door ,WI,4560,5123,9325,0,0,253
Dorchester ,MD,3460,6160,1217,0,0,339
Dorchester ,SC,25075,16775,7926,75,0,1653
Dougherty ,GA,33011,9196,3963,20,1524,2961
Douglas ,CO,50827,13182,22360,0,0,13649
Douglas ,GA,45976,7944,9360,0,762,2018
Douglas ,IL,6100,4996,2104,0,0,131
Douglas ,KS,11142,10753,9243,46,308,3102
Douglas ,MN,7114,11243,6636,0,0,314
Douglas ,MO,1948,230,245,0,0,492
Douglas ,NE,64801,52105,123962,835,4616,20613
Douglas ,NV,5713,1159,4999,0,0,2028
Douglas ,OR,19604,2206,2443,0,308,5238
Douglas ,SD,1433,1120,308,0,0,0
Douglas ,WA,3833,1406,8000,0,0,975
Douglas ,WI,5012,5290,11104,0,0,14
Drew ,AR,8917,1754,242,0,0,302
Dubois ,IN,4008,5080,22001,0,0,361
Dubuque ,IA,5613,7457,49917,70,308,979
Duchesne ,UT,565,18,268,0,0,13677
Dukes ,MA,310,1610,2896,0,0,1157
Dundy ,NE,44,926,135,0,0,0
Dunklin ,MO,13124,1488,1620,0,0,0
Dunn ,ND,150,1114,2379,0,0,27
Dunn ,WI,4722,11522,4422,0,0,480
DuPage ,IL,120953,71909,373823,8460,59821,77889
Duplin ,NC,11282,4176,315,0,0,324
Durham ,NC,57203,29045,10471,375,2004,8254
Dutchess ,NY,12799,20556,111112,854,7044,10970
Duval ,FL,266356,52038,78167,3414,5787,26972
Duval ,TX,1428,113,6800,0,0,0
Dyer ,TN,16830,3176,800,0,0,238
Eagle ,CO,2199,1627,11373,0,0,882
Early ,GA,5086,992,135,0,0,7
East Baton Rouge Parish,LA,120949,32765,97904,457,1532,9604
East Carroll Parish,LA,2730,346,154,0,0,0
East Feliciana Parish,LA,5551,1899,275,0,0,300
Eastland ,TX,13565,1011,475,0,0,226
Eaton ,MI,23299,7847,6420,0,0,481
Eau Claire ,WI,18442,19220,16240,0,418,1744
Echols ,GA,604,172,0,0,0,0
Ector ,TX,43262,4633,21600,25,0,1810
Eddy ,NM,16569,3017,13254,0,0,1604
Eddy ,ND,103,1122,500,0,0,0
Edgar ,IL,3338,3065,1128,0,0,217
Edgecombe ,NC,17402,3064,461,0,308,326
Edgefield ,SC,6325,1439,1830,0,0,36
Edmonson ,KY,1737,0,63,0,0,0
Edmunds ,SD,679,710,1523,0,0,0
Edwards ,IL,2889,1340,0,0,0,0
Edwards ,KS,327,760,1091,0,0,2
Edwards ,TX,732,264,533,0,0,0
Effingham ,GA,14464,4593,400,75,0,482
Effingham ,IL,10618,2689,10144,0,0,287
El Dorado ,CA,16538,2937,23298,315,1109,8928
El Paso ,CO,95284,33697,52310,947,300,22775
El Paso ,TX,87056,10145,345950,647,700,16675
Elbert ,CO,1317,384,1022,0,0,744
Elbert ,GA,7392,2393,178,0,0,193
Elk ,KS,327,702,50,0,0,0
Elk ,PA,905,4741,22476,0,0,229
Elkhart ,IN,52931,13375,10765,248,0,1259
Elko ,NV,3374,1207,6768,0,0,7974
Elliott ,KY,158,245,0,0,0,0
Ellis ,KS,1915,3311,10388,0,308,677
Ellis ,OK,2099,1037,50,0,0,0
Ellis ,TX,47380,9201,17381,0,0,1769
Ellsworth ,KS,1292,1225,789,0,0,0
Elmore ,AL,28235,5902,677,0,0,531
Elmore ,ID,2768,1029,4461,0,0,3196
Emanuel ,GA,6126,1282,495,0,0,146
Emery ,UT,403,0,105,0,0,8483
Emmet ,IA,868,5181,1612,0,0,2
Emmet ,MI,3048,2976,5671,0,0,623
Emmons ,ND,735,659,2233,0,0,0
Emporia city,VA,1791,757,91,0,1718,1720
Erath ,TX,16480,3084,1100,0,0,536
Erie ,NY,49435,62675,352894,4103,16961,34076
Erie ,OH,9836,10951,19734,20,0,852
Erie ,PA,23687,32928,93998,815,1826,4429
Escambia ,AL,17917,1849,530,0,0,554
Escambia ,FL,95418,24082,18231,674,2794,7735
Esmeralda ,NV,23,0,0,0,0,1
Essex ,MA,20925,33710,341970,11590,616,15882
Essex ,NJ,34666,41339,261966,6188,23743,61850
Essex ,NY,1197,3360,8467,0,0,328
Essex ,VT,0,360,619,0,0,3
Essex ,VA,2432,1268,600,0,0,301
Estill ,KY,5423,897,73,0,0,3
Etowah ,AL,64316,5816,7624,0,616,1437
Eureka ,NV,191,0,580,0,0,181
Evangeline Parish,LA,5754,48,19656,0,0,2
Evans ,GA,3230,1213,250,0,0,2
Fairbanks North Star Borough,AK,13987,3969,4195,135,0,5347
Fairfax ,VA,103522,100525,184183,4694,50108,91925
Fairfax city,VA,8012,4150,9953,3000,0,2244
Fairfield ,CT,46888,82604,404341,9215,5172,32501
Fairfield ,OH,20742,17001,17500,0,0,1916
Fairfield ,SC,7894,1790,105,0,0,561
Fall River ,SD,1005,1103,812,0,0,282
Fallon ,MT,381,974,455,0,0,0
Falls ,TX,4251,1467,2179,0,0,3
Falls Church city,VA,3114,3627,6332,0,0,4167
Fannin ,GA,13477,912,541,0,0,6
Fannin ,TX,16946,2189,943,0,0,343
Faribault ,MN,2101,6441,3583,0,0,0
Faulk ,SD,198,638,876,0,0,0
Faulkner ,AR,39848,6728,5089,0,50,1527
Fauquier ,VA,12017,9021,6600,115,0,1409
Fayette ,AL,9490,795,90,0,0,123
Fayette ,GA,41380,15629,10392,200,300,1997
Fayette ,IL,7744,1718,571,0,0,2
Fayette ,IN,5421,2589,2060,0,0,323
Fayette ,IA,1854,8438,4019,0,0,293
Fayette ,KY,83924,31144,25882,780,533,5451
Fayette ,OH,3383,3228,625,0,0,81
Fayette ,PA,13148,20117,24544,344,812,1434
Fayette ,TN,8093,1882,900,0,0,458
Fayette ,TX,4838,4004,9555,0,0,86
Fayette ,WV,5904,7335,1593,0,0,22
Fentress ,TN,4691,1099,80,0,0,346
Fergus ,MT,1708,1535,1954,0,0,470
Ferry ,WA,474,56,1173,0,0,302
Fillmore ,MN,4596,11016,4223,0,0,79
Fillmore ,NE,717,2247,1442,0,0,0
Finney ,KS,5946,3645,7064,35,308,1555
Fisher ,TX,2702,501,449,0,0,1
Flagler ,FL,10014,3299,18033,140,0,142
Flathead ,MT,15544,4594,4933,0,0,4370
Fleming ,KY,3313,1708,160,0,0,0
Florence ,SC,42527,14522,3320,400,508,4130
Florence ,WI,764,144,939,0,0,0
Floyd ,GA,45987,7335,5282,0,0,865
Floyd ,IN,20756,7420,12234,0,308,1796
Floyd ,IA,1255,5256,3080,0,0,4
Floyd ,KY,8911,2614,229,0,308,699
Floyd ,TX,2499,1166,1170,0,0,0
Floyd ,VA,3890,1345,53,0,0,156
Fluvanna ,VA,3153,1412,1070,3,0,7
Foard ,TX,1172,188,32,0,0,0
Fond du Lac ,WI,15457,12339,29714,220,0,500
Ford ,IL,2239,3666,1771,0,0,4
Ford ,KS,6564,2384,12570,0,308,918
Forest ,PA,511,1525,485,0,0,0
Forest ,WI,1132,266,2984,0,0,2
Forrest ,MS,33774,7405,6613,0,616,2532
Forsyth ,GA,44659,10999,16643,700,0,981
Forsyth ,NC,100426,59405,15184,1220,1516,6045
Fort Bend ,TX,76590,41419,81096,865,17794,34339
Foster ,ND,2321,1698,706,0,0,1
Fountain ,IN,3646,1212,600,0,0,0
Franklin ,AL,16733,1195,1487,0,0,475
Franklin ,AR,5699,1166,710,0,0,3
Franklin ,FL,2718,783,800,0,0,133
Franklin ,GA,13091,2005,0,0,0,10
Franklin ,ID,150,42,627,0,0,11434
Franklin ,IL,16444,2359,3053,70,0,83
Franklin ,IN,2391,2499,4743,0,0,4
Franklin ,IA,1350,4293,1129,0,0,130
Franklin ,KS,3590,4069,1350,0,0,703
Franklin ,KY,19409,5783,1911,0,120,673
Franklin ,ME,908,2003,3936,0,0,427
Franklin ,MA,2079,4617,16509,0,0,1580
Franklin ,MS,4572,449,32,0,0,0
Franklin ,MO,22726,6465,18173,0,0,976
Franklin ,NE,358,1712,216,0,0,0
Franklin ,NY,1277,2942,18437,0,0,253
Franklin ,NC,18951,2447,521,0,0,7
Franklin ,OH,144147,105457,153400,5360,15578,42560
Franklin ,PA,19930,19147,10259,120,0,1564
Franklin ,TN,15502,3525,800,0,0,4
Franklin ,TX,2568,756,611,0,0,1
Franklin ,VT,874,3085,16526,0,0,216
Franklin ,VA,16656,6544,559,0,0,331
Franklin ,WA,10938,1259,7478,162,0,7465
Franklin city,VA,1443,1484,344,0,0,341
Franklin Parish,LA,13438,758,276,0,0,114
Frederick ,MD,21401,34107,36923,545,308,3901
Frederick ,VA,12307,9502,0,0,3436,4170
Fredericksburg city,VA,25152,7551,12785,0,0,537
Freeborn ,MN,4217,16609,5388,0,0,168
Freestone ,TX,5862,1608,662,0,0,1
Fremont ,CO,6389,2135,9031,0,0,1542
Fremont ,ID,546,152,970,0,0,8586
Fremont ,IA,523,2064,560,0,0,0
Fremont ,WY,4269,2219,3047,0,0,3658
Fresno ,CA,126004,16843,288324,7768,2868,37977
Frio ,TX,1469,802,7850,0,0,0
Frontier ,NE,477,1216,120,0,0,2
Fulton ,AR,4993,402,0,0,0,2
Fulton ,GA,204409,166727,91391,2496,12727,50075
Fulton ,IL,4571,7582,1217,0,0,322
Fulton ,IN,2958,2942,1128,0,0,1
Fulton ,KY,4032,1025,223,0,0,408
Fulton ,NY,1351,4264,7963,30,0,793
Fulton ,OH,10274,6173,7621,0,0,280
Fulton ,PA,1962,2060,191,0,0,51
Furnas ,NE,1579,1964,729,0,0,0
Gadsden ,FL,8795,2280,1535,0,0,349
Gage ,NE,4804,9048,1631,0,0,268
Gaines ,TX,8097,555,2170,0,0,122
Galax city,VA,3229,2180,0,0,0,1
Gallatin ,IL,1453,270,1246,0,0,1
Gallatin ,KY,2960,503,378,0,0,0
Gallatin ,MT,12099,5833,6400,50,308,4409
Gallia ,OH,4195,3384,482,0,0,357
Galveston ,TX,61765,18373,57907,559,7626,13728
Garden ,NE,141,697,220,0,0,0
Garfield ,CO,5108,1733,6368,0,0,2293
Garfield ,MT,116,157,110,0,0,58
Garfield ,NE,687,551,500,0,0,0
Garfield ,OK,20284,8651,3743,0,0,1221
Garfield ,UT,25,0,50,0,0,3781
Garfield ,WA,307,275,777,0,0,2
Garland ,AR,31254,10744,4501,391,0,1589
Garrard ,KY,7702,973,131,0,0,15
Garrett ,MD,6015,4025,771,0,0,204
Garvin ,OK,16855,2733,410,0,0,361
Garza ,TX,1837,549,408,0,0,0
Gasconade ,MO,4423,2512,2022,0,0,1
Gaston ,NC,85092,20666,5914,0,308,1741
Gates ,NC,5058,752,0,0,0,2
Geary ,KS,6024,2818,1355,0,616,2157
Geauga ,OH,13735,7938,30880,0,0,250
Gem ,ID,858,468,4989,0,0,3108
Genesee ,MI,59625,22575,45566,1392,11029,17837
Genesee ,NY,4468,6000,15455,0,0,321
Geneva ,AL,12807,1960,50,0,308,515
Gentry ,MO,2913,1795,338,0,0,245
George ,MS,8631,1970,369,0,0,246
Georgetown ,SC,13340,9784,3990,0,0,1031
Gibson ,IN,3668,3232,6243,0,0,1
Gibson ,TN,27229,4057,540,0,0,210
Gila ,AZ,5416,1454,8519,0,0,4756
Gilchrist ,FL,6098,93,0,0,0,4
Giles ,TN,14299,3467,400,0,0,4
Giles ,VA,4118,3741,97,0,0,528
Gillespie ,TX,3929,4210,6448,25,0,260
Gilliam ,OR,122,224,142,0,0,4
Gilmer ,GA,9152,2043,1120,0,0,381
Gilmer ,WV,391,1909,97,0,0,0
Gilpin ,CO,0,157,126,0,0,2
Glacier ,MT,851,771,7400,0,0,314
Glades ,FL,1983,114,700,0,0,50
Gladwin ,MI,3379,1662,2857,0,0,336
Glascock ,GA,1358,103,0,0,0,0
Glasscock ,TX,101,37,500,0,0,0
Glenn ,CA,2648,1343,6112,0,0,832
Gloucester ,NJ,30715,18855,75218,0,1474,2511
Gloucester ,VA,8729,4732,1160,0,0,488
Glynn ,GA,21274,12459,5210,40,0,1707
Gogebic ,MI,2664,2357,4781,22,0,0
Golden Valley ,MT,32,23,162,0,0,0
Golden Valley ,ND,141,336,1056,0,0,1
Goliad ,TX,1312,880,2271,0,0,3
Gonzales ,TX,4916,2337,3144,0,0,513
Goochland ,VA,5014,4880,971,0,3436,3441
Goodhue ,MN,5901,18320,5805,0,0,489
Gooding ,ID,529,904,2351,0,0,3501
Gordon ,GA,23407,2415,6122,0,0,357
Goshen ,WY,1032,1145,1403,0,0,503
Gosper ,NE,1172,343,75,0,0,0
Gove ,KS,337,354,848,0,0,0
Grady ,GA,10347,1539,615,0,0,226
Grady ,OK,19725,3909,420,0,0,291
Grafton ,NH,1494,7832,9503,0,0,1320
Graham ,AZ,1985,561,6194,30,0,11793
Graham ,KS,523,444,273,0,0,4
Graham ,NC,2849,293,96,0,0,0
Grainger ,TN,11233,728,0,0,0,5
Grand ,CO,1097,819,1544,0,0,257
Grand ,UT,823,555,635,0,0,2948
Grand Forks ,ND,5361,17571,11769,0,0,1252
Grand Isle ,VT,0,665,2609,0,0,1
Grand Traverse ,MI,10739,8113,13969,70,0,1373
Granite ,MT,75,97,250,0,0,305
Grant ,AR,7283,904,68,0,0,0
Grant ,IN,14942,8995,2328,0,0,528
Grant ,KS,1576,1464,1915,0,0,254
Grant ,KY,11327,1055,575,0,0,180
Grant ,MN,1200,3784,519,0,0,4
Grant ,NE,97,228,60,0,0,48
Grant ,NM,2530,873,9587,0,0,1757
Grant ,ND,470,574,679,0,0,0
Grant ,OK,1954,2168,170,0,0,3
Grant ,OR,634,327,405,0,0,473
Grant ,SD,2391,2572,2824,0,0,0
Grant ,WA,9113,3458,14500,0,0,7584
Grant ,WV,2264,2326,158,0,0,425
Grant ,WI,3400,8787,20489,30,0,386
Grant Parish,LA,8904,427,520,0,0,0
Granville ,NC,20209,3403,595,0,0,11
Gratiot ,MI,6010,2207,4689,0,0,363
Graves ,KY,22543,2403,2196,0,0,331
Gray ,KS,2045,976,541,0,0,1
Gray ,TX,15159,1787,2358,0,0,423
Grays Harbor ,WA,7083,3459,7602,0,0,3506
Grayson ,KY,7693,787,2100,0,0,77
Grayson ,TX,50271,9066,5952,120,2541,3844
Grayson ,VA,4819,2465,0,0,0,1
Greeley ,KS,118,322,267,0,0,129
Greeley ,NE,237,560,1214,0,0,0
Green ,KY,8358,1376,62,0,0,0
Green ,WI,1922,6822,6560,0,0,112
Green Lake ,WI,5092,2555,5290,0,0,8
Greenbrier ,WV,4743,8317,776,0,0,458
Greene ,AL,1134,375,37,0,0,22
Greene ,AR,19964,2582,410,0,0,223
Greene ,GA,3503,1885,1490,0,0,6
Greene ,IL,2420,3359,1764,0,0,1
Greene ,IN,7562,3689,746,0,0,374
Greene ,IA,1414,2801,880,0,0,158
Greene ,MS,3814,176,26,0,0,0
Greene ,MO,96521,25250,15294,121,308,5731
Greene ,NY,2063,5329,9935,280,0,520
Greene ,NC,3165,1410,0,0,0,7
Greene ,OH,23435,12115,14064,0,50,6403
Greene ,PA,4260,7006,4680,73,0,167
Greene ,TN,22449,9496,1094,0,0,326
Greene ,VA,2197,1111,239,0,0,5
Greenlee ,AZ,571,34,2608,0,0,1229
Greensville ,VA,1757,404,0,0,0,0
Greenup ,KY,11804,2368,43,0,0,751
Greenville ,SC,186955,44200,25417,1930,616,5656
Greenwood ,KS,1546,1416,350,0,0,2
Greenwood ,SC,26597,9007,2010,0,0,776
Greer ,OK,3931,552,140,0,0,1
Gregg ,TX,64326,12581,15271,0,0,1822
Gregory ,SD,1025,891,1107,0,0,1
Grenada ,MS,10946,1546,360,0,0,1
Griggs ,ND,425,852,225,0,0,3
Grimes ,TX,4622,965,7123,0,0,298
Grundy ,IL,5311,4230,10700,0,0,372
Grundy ,IA,1727,4786,1064,0,0,0
Grundy ,MO,6417,2213,329,0,0,296
Grundy ,TN,3096,846,0,0,0,388
Guadalupe ,NM,180,28,4000,0,0,0
Guadalupe ,TX,21414,7148,15094,0,0,848
Guernsey ,OH,4703,6463,2112,0,0,5
Guilford ,NC,113377,74143,20228,540,3984,14164
Gulf ,FL,4459,1161,330,0,0,253
Gunnison ,CO,1121,491,4157,0,0,326
Guthrie ,IA,1192,2643,1616,0,0,1
Gwinnett ,GA,195348,67212,67781,4004,8759,23940
Haakon ,SD,431,526,668,0,0,0
Habersham ,GA,20247,3103,3028,0,0,649
Haines Borough,AK,344,149,185,0,0,199
Hale ,AL,4362,1386,25,100,0,165
Hale ,TX,21750,2122,9094,0,0,534
Halifax ,NC,16221,4976,458,0,0,351
Halifax ,VA,16150,3833,214,0,3436,3438
Hall ,GA,81965,11384,38311,0,1524,3093
Hall ,NE,11153,9929,12037,30,0,1282
Hall ,TX,1631,418,140,0,0,1
Hamblen ,TN,32801,5544,1954,0,0,1010
Hamilton ,FL,4204,382,53,0,0,441
Hamilton ,IL,3194,313,1159,0,0,0
Hamilton ,IN,45849,24297,40251,2455,1000,3969
Hamilton ,IA,2939,5422,1433,0,0,2
Hamilton ,KS,259,707,340,0,0,0
Hamilton ,NE,1791,2955,591,0,0,273
Hamilton ,NY,445,304,1629,0,761,762
Hamilton ,OH,93166,76354,205094,3879,1724,21699
Hamilton ,TN,137194,31981,12685,388,2156,6187
Hamilton ,TX,4022,797,190,0,0,0
Hamlin ,SD,252,1358,616,0,0,0
Hampden ,MA,19438,21962,223685,3406,994,9140
Hampshire ,MA,3128,8454,50643,0,160,4722
