county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
LaGrange,IN,41.64232188,-85.42674232,38720,10633,8110,2355,0.763,0.221,878,15,19659,19061,3.9,94.4,0.1,0.1,0.2,0,58336,22780,9.1,20.8,11.1,16,10.7,41.5,53.2,26.9,0.2,4,10.4,5.3,22.9,16479,88,5.5,6,0.4,2.9
LaMoure,ND,46.45681054,-98.53542355,4106,2219,1645,527,0.741,0.237,224,11,2129,1977,1,97.1,0.1,0.7,0,0,57463,36653,10.7,40,12.7,18.1,14.5,14.7,69.9,6.6,0,9.8,0.7,13,17.5,2019,64.5,13.4,20.5,1.6,0.8
LaPorte,IN,41.54366008,-86.74072188,110839,49469,25991,22419,0.525,0.453,2623,68,57212,53627,6.3,79.9,10.9,0.3,0.6,0,49921,25004,16.6,26.6,19.5,22.7,10.2,21,83.5,8.7,0.8,2,1.3,3.7,22.1,47222,85.8,9.9,4.3,0,8
LaSalle,IL,41.3442613,-88.88633881,111151,52053,29482,21491,0.566,0.413,2776,69,55819,55332,9.3,86.1,2.5,0.2,0.8,0,54693,27959,13.6,28,19.1,22.6,10.6,19.6,84.5,8.3,0.3,1.9,1.4,3.5,22.8,50811,83.7,11.9,4.2,0.2,8.3
Labette,KS,37.19113093,-95.29849679,20553,8414,5639,2607,0.67,0.31,412,6,10142,10411,4.4,85.4,3.8,0.9,0.3,0,45706,22841,17.8,32.6,20.3,17.5,9.4,20.2,84.4,6.9,0.3,3.3,1.9,3.2,15.8,9514,73.9,19.9,6,0.3,4.7
Lac qui Parle,MN,44.9973857,-96.17488219,6840,4039,2527,1445,0.626,0.358,153,3,3411,3429,2.1,95.6,1.2,0.2,0.4,0,50195,31427,9.3,37.3,17.2,19.2,12.2,14,75.9,8,0.2,5,1.1,9.7,16.1,3458,70.1,11.7,18,0.2,3.1
Lackawanna,PA,41.43564672,-75.60379201,211960,113975,51501,61124,0.452,0.536,3875,219,102652,109308,6.7,86.6,2.6,0.1,2.5,0,48380,27258,15.4,35.1,17.2,24.8,8.3,14.7,80.8,10.4,0.9,3.3,0.8,3.7,20.9,97184,82.8,12.2,4.8,0.2,5.4
Laclede,MO,37.65896829,-92.5888493,35488,16819,13755,2779,0.818,0.165,1265,23,17562,17926,2.3,93.8,0.5,0.4,0.4,0,42646,20534,17.7,26.6,16.4,20.4,8.5,28,80.6,12.6,0.1,1.7,1.3,3.7,21.3,14894,80.8,11.1,8.1,0.1,7.7
Lafayette,AR,33.24116713,-93.60677071,7051,2679,1757,839,0.656,0.313,201,3,3460,3591,1.2,59.3,37.8,0.3,0.4,0,32500,25140,23.8,26.9,14.7,22,13.9,22.4,82.6,10.1,0.2,2,1.2,3.7,25.1,2580,70.3,20.6,8.2,0.9,8.3
Lafayette,FL,29.98484137,-83.18166636,8684,3661,3128,509,0.854,0.139,1279,16,5104,3580,14.3,68.3,15.1,0.1,0,1,41512,21955,17.8,32.4,16.5,20.8,15.9,14.3,81,14.7,0.2,1.9,0.9,1.3,27.2,2532,60.9,33.9,5.2,0,12.8
Lafayette,MO,39.06986886,-93.78076396,32655,17083,12262,4470,0.718,0.262,912,26,16121,16534,2.7,92.2,2,0.2,0.5,0.1,52557,27260,12.8,27.4,18.2,22.5,14,18,81.2,10.1,0.3,2.3,1.4,4.7,25.5,15277,78.3,12.4,8.9,0.4,5.5
Lafayette,MS,34.35687874,-89.48490961,52744,17163,9878,6904,0.576,0.402,2607,43,25611,27133,2.5,70,23.8,0.1,2.1,0,45019,25719,25.3,40.6,22.7,20,5.9,10.9,81.8,10.4,0.7,1.9,1.8,3.4,18.7,24493,69.9,24.2,5.9,0,5.7
Lafayette,WI,42.66005229,-90.1317729,16755,8555,4821,3647,0.564,0.426,600,1,8485,8270,3.6,94.6,0.4,0.4,0.3,0,55859,27023,10.4,31.9,12.8,21.2,16.4,17.7,76.1,8.1,0.2,4.1,1.3,10.3,24.6,8640,74.3,12.6,12.4,0.7,2.7
Lafayette,LA,30.2049055,-92.06959876,238230,114521,72519,39685,0.633,0.347,9534,140,116361,121869,4.6,66.1,25.6,0.2,1.8,0,53950,30656,16.6,35.7,18.8,24.1,10.8,10.6,83.5,9.1,0.7,1.9,1.8,3,24.1,119324,81.6,10.7,7.5,0.2,5.1
Lafourche,LA,29.52470226,-90.40976986,98112,45388,36024,8672,0.794,0.191,3925,131,48235,49877,4.4,76.9,13,2.4,0.8,0,52705,26331,16,27.7,15.3,23.3,16.1,17.6,80.6,10.4,0.5,0.9,5.2,2.4,28,42975,82.2,12,5.7,0.1,7
Lake,CA,39.10124298,-122.7536244,64095,11038,3955,6874,0.358,0.623,727,18,31788,32307,19.4,71.7,2.1,3.2,1.4,0,40446,23345,22.8,25.8,26.5,21.4,16.1,10.1,71.3,11.5,1,3,0.6,12.5,28.9,22691,68.3,20,11.4,0.3,11.2
Lake,CO,39.20278823,-106.3555697,7481,3938,1492,2287,0.379,0.581,143,0,4079,3402,33.9,64.3,0.1,0,0.6,0,46176,28492,12.8,30.5,20.1,23.1,18.4,8,67,10.3,1.5,10.9,2,8.3,28.6,4184,72.7,18.1,9.2,0,5.7
Lake,FL,28.76202069,-81.7125123,326215,211702,125853,83491,0.594,0.394,8729,227,157897,168318,14.4,71.1,9.9,0.3,1.9,0,49734,25991,12.8,32,21.4,27.8,9.5,9.4,81.5,10,0.3,0.8,1.3,6.1,28.8,131532,82.8,11.8,5.3,0.1,7.2
