county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Austin,TX,29.88548725,-96.27736949,29292,14368,11282,2931,0.785,0.204,521,10,14474,14818,25.9,63.3,8.9,0,0.2,0,62614,30101,13.4,30.9,15.7,23.6,12.5,17.4,81.6,10.6,0.1,1.9,1.3,4.6,31.1,13509,77.5,13.2,9.3,0,5.4
Autauga,AL,32.53952745,-86.64408227,55036,27639,19764,7450,0.715,0.27,2173,31,26899,28137,2.7,75.4,18.9,0.3,0.9,0,55317,27824,13.7,35.3,18,23.2,8.1,15.4,86,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2
Avery,NC,36.07569796,-81.92308483,17535,9339,7092,2171,0.759,0.232,647,1,9573,7962,5.1,89,4.2,0.5,0.6,0,37109,21704,14.7,29.8,25.7,20.7,14.1,9.7,78.6,12.4,0.6,4.1,0.9,3.4,22.5,6778,78.3,13.2,8.1,0.4,5.5
Avoyelles,LA,31.07796211,-92.00079449,41095,17292,12028,4979,0.696,0.288,1757,62,20693,20402,1.8,65.3,30.1,1.2,0.1,0.1,36763,20199,23.7,31.6,24.4,17.4,12.6,14,85.2,9,0.2,2,2,1.6,30.2,14753,75.3,19.7,4.9,0.1,7.7
Baca,CO,37.31940883,-102.5603223,3581,2193,1840,313,0.839,0.143,37,0,1732,1849,10.5,85.7,1.5,1.1,0,0,35898,22853,19.5,39.7,19.2,15.3,19,6.8,71.3,9.8,0,9.3,1.3,8.3,14.5,1655,55,25.3,16.9,2.8,4.5
Bacon,GA,31.55456473,-82.45936528,11279,4668,4018,625,0.861,0.134,640,16,5599,5680,8.5,73.6,14.6,0,0.9,0.2,38824,18856,23.2,30.7,12,22.4,18.6,16.2,79.1,15.1,1.2,1.3,1.3,2.1,20.4,4345,77.7,16.1,6.2,0,3.1
Bailey,TX,34.06854817,-102.8299707,7098,1854,1430,407,0.771,0.22,311,5,3678,3420,62.7,34.6,1.5,0.1,0.9,0.2,43523,18662,22.3,22.9,20.7,17.4,24,15,69.6,8.2,0,5.9,7.7,8.6,16.5,3157,77.1,11.8,10.4,0.8,2.2
Baker,FL,30.33060121,-82.28467476,27537,14082,11911,2037,0.846,0.145,1805,24,14422,13115,2.4,81.9,13.8,0.4,0.7,0,59506,22440,17.2,29.9,19,26.7,10.6,13.9,84.9,9.1,0,0.1,2.4,3.5,29.9,10567,69.1,26.7,4,0.2,5.8
Baker,GA,31.32669878,-84.44218806,3251,1555,897,652,0.577,0.419,92,6,1547,1704,5.4,52.1,41.3,0.2,0.6,0.5,43867,22270,19.5,28.5,11.4,27.8,19.9,12.4,88.8,8,0,1.1,0.6,1.5,27.4,1286,70.1,23.1,6.8,0,2.5
Baker,OR,44.70915557,-117.6749883,15980,9878,7316,2332,0.741,0.236,144,3,8156,7824,3.9,91.1,0.9,1,0.8,0.4,43765,25820,15.3,33.6,15.4,20.6,15.4,15,71.2,13.2,0,5.3,2.9,7.4,16,6354,70.7,18.6,10.4,0.3,7.3
Baldwin,AL,30.72774991,-87.72207058,203360,108945,83055,24344,0.762,0.223,6966,71,99527,103833,4.4,83.1,9.5,0.8,0.7,0,52562,29364,11.8,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27,89527,80.7,12.9,6.3,0.1,5.5
Baldwin,GA,33.06882326,-83.24701748,45527,18251,8903,9140,0.488,0.501,2337,65,22893,22634,2.2,52.9,41.4,0.3,1.5,0.2,37008,20114,27.8,30.3,26.9,20.2,9.8,12.8,85.2,8.8,0.4,2.5,1.4,1.7,21.7,17647,68.6,27.7,3.7,0,9
Ballard,KY,37.05842757,-88.99427697,8152,4225,3356,825,0.794,0.195,81,1,4077,4075,1.2,93,3.9,0.2,0.4,0,42988,25063,18.2,27.7,17.3,23.8,9.9,21.3,89.3,3.8,2.2,0.4,0.8,3.6,23.6,3394,81.4,11.9,6.7,0,4.7
Baltimore,MD,39.45784712,-76.62911955,828637,346035,130085,210155,0.376,0.607,21194,675,392930,435707,5.1,58.7,27.5,0.2,5.9,0,71810,37270,9.1,43.4,16.6,24.4,7,8.6,79.2,8.7,4.8,1.8,1.5,4,29.5,420974,77.2,17.8,4.8,0.2,5.5
Bamberg,SC,33.21927586,-81.05659969,14842,6482,2417,4010,0.373,0.619,699,34,7218,7624,1.9,35.6,61.5,0.1,0.4,0,32330,19256,24.5,32.1,19.4,17.3,11.6,19.5,81.3,11.1,1.2,3.8,0.9,1.7,24.4,5592,71.4,23.3,5.3,0,6.5
Bandera,TX,29.74619598,-99.24598147,21316,12703,10050,2503,0.791,0.197,190,8,10570,10746,18,78.8,1,0.2,0.2,0,56413,29177,16.5,35.7,17.4,22.7,17.5,6.7,80.2,9.8,0.1,1.9,0.4,7.6,37,8682,70.8,17.9,11,0.3,5.7
Banks,GA,34.35607081,-83.49644388,18363,8801,7795,932,0.886,0.106,574,8,9245,9118,6.4,88.4,2.5,0.2,1.2,0,42182,19451,14.3,24.8,17,22.4,16.4,19.5,80.6,12.5,0,2,0.6,4.4,30.2,7796,80.5,11.6,7,0.9,6.6
Banner,NE,41.54634427,-103.7114332,728,410,362,43,0.883,0.105,4,0,356,372,7.8,89.4,0.5,0,0,0,55000,30736,8.9,52,5.5,17.3,13.8,11.3,62.5,10.9,0,5.1,0,21.5,24.8,398,50.3,24.6,25.1,0,3.2
Bannock,ID,42.67002716,-112.2233311,84113,39553,23331,14682,0.59,0.371,2732,14,41867,42246,8.3,84.5,0.6,2.7,1.2,0.2,47390,23872,17.6,35.5,18.2,25.2,9,12.2,76.2,11.1,1.5,4.2,2.6,4.3,17.6,36989,73.1,20.9,5.9,0.2,6.3
Baraga,MI,46.6720582,-88.36363591,8580,4036,2512,1478,0.622,0.366,125,4,5112,3468,1.5,73.1,15.8,4.7,0.5,0,42757,18975,14.4,25.8,22.5,24.1,10.1,17.5,83.2,8.5,0,3.5,0.9,4,19,2485,77.6,16.6,5.4,0.4,6
Barber,KS,37.2288586,-98.68460053,4905,2313,1992,284,0.861,0.123,57,0,2525,2380,3.2,92.4,0.7,1.5,0.7,0,52075,28840,15.9,29.3,16,19.5,16.6,18.6,82.8,8.5,0,2.4,1.5,4.8,15.8,2391,69.6,16.8,13.2,0.5,2.5
Barbour,AL,31.868263,-85.3871286,26201,10457,5605,4772,0.536,0.456,1061,9,13976,12225,4.2,45.7,47.8,0.2,0.6,0,33368,17561,27.2,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4
Barbour,WV,39.1307219,-80.00350858,16790,6677,5116,1457,0.766,0.218,187,1,8165,8625,0.9,95.7,0.9,0.4,0.7,0,37516,20762,22.5,26.3,21.7,23.7,15.9,12.5,78.3,11.9,0.3,4.5,1.4,3.8,29.2,6421,79.8,16,4.1,0.1,8.9
Barnes,ND,46.93579637,-98.06605978,10971,5507,3532,1800,0.641,0.327,410,1,5397,5574,1.9,92.9,0.9,2,0.5,0,56237,32517,10,35.1,20.8,15.8,14.6,13.7,77.7,10.2,1,5.5,1.3,4.3,17,5780,67.8,19.1,12.8,0.3,3.1
Barnstable,MA,41.72980578,-70.28854339,213900,27051,10824,15685,0.4,0.58,2051,185,102152,111748,2.7,90.2,2.7,0.4,1.5,0.1,68048,40886,7.5,37.9,21.2,23.4,10.6,7,81.1,7.2,1.3,2.5,1.5,6.3,23.3,104246,75.1,12.6,12.1,0.2,5.5
Barnwell,SC,33.26679302,-81.43584352,21788,10321,5492,4720,0.532,0.457,887,25,10369,11419,2.3,51.2,45.1,0.1,0.4,0,34035,20018,27,23.9,20,23.5,12.6,20,87,8.4,0.3,1.5,1.1,1.7,27.6,8004,76.4,18.1,5.4,0.1,10.1
Barren,KY,36.96469836,-85.93338945,43418,20079,14646,5115,0.729,0.255,1358,13,21123,22295,3,90.7,3.9,0.2,0.5,0,39658,20493,22.9,28.4,14.7,21.5,9.8,25.6,80.3,11.7,0.2,1.7,1,5.1,20.7,18377,79,13.6,7,0.4,7.6
Barron,WI,45.42372701,-91.84833627,45358,25346,15803,9194,0.623,0.363,1320,7,22759,22599,2.4,93.8,1.2,0.8,0.7,0,49257,26935,11.5,28.9,16.2,19.2,12.1,23.5,80.2,7.5,0.2,4.1,1.5,6.3,19.6,22255,80,11.1,8.6,0.3,3.6
Barrow,GA,33.99148694,-83.71436292,75099,38017,26804,10453,0.705,0.275,2672,51,37033,38066,10,73,11.1,0.1,3.6,0,56119,22978,13.2,28,13.8,29.1,12.5,16.6,85.1,9.9,0.3,0.5,0.8,3.3,33.2,34265,82.9,12.5,4.5,0.1,6.8
Barry,MI,42.59513984,-85.30834519,59607,35914,23473,11804,0.654,0.329,803,6,29958,29649,2.7,94.6,0.4,0.2,0.5,0,57312,27166,9.3,29,16.4,22.6,12.5,19.5,84.8,7.6,0.2,2.5,0.8,4.2,28.4,27877,84.4,9.4,6.1,0.1,6.2
Barry,MO,36.70978521,-93.82919888,35398,15598,12425,2948,0.797,0.189,912,9,17782,17616,9,86.5,0.3,0.6,1.5,0,40638,20840,20.5,24.7,15.6,20.1,13.1,26.5,79.8,11.6,0.4,2.2,1.3,4.7,23.4,14330,80.4,10.5,9,0,8
Bartholomew,IN,39.20744865,-85.89558181,81024,36299,22409,12934,0.617,0.356,1597,59,40688,40336,6.5,83.2,1.7,0.2,6.3,0.1,57331,29955,12.4,40.7,14.4,18.9,6.4,19.5,85.1,8.6,0.6,1.3,1.7,2.7,19.6,39722,88,7.6,4.3,0.1,5
Barton,KS,38.47889676,-98.75636726,27067,10961,8480,2302,0.774,0.21,803,7,13445,13622,14.5,82,1.1,0.3,0.1,0.2,46070,26264,15.7,29.1,17.7,23.4,14.2,15.6,82.2,10.9,0.7,1.8,0.9,3.5,17.9,13580,77.1,15.2,7.5,0.2,4.2
Barton,MO,37.50207671,-94.34757022,11942,6077,5168,844,0.85,0.139,453,4,5924,6018,2.5,92.7,0.2,1.9,0.6,0,41184,24628,20.9,32.7,11.7,22.7,11.5,21.4,81.8,6.4,0.3,4,1.5,5.9,22.8,5304,73.7,14.6,11,0.7,5.4
Bartow,GA,34.23732119,-84.83887523,102623,50465,37673,12091,0.747,0.24,3714,96,50888,51735,8.2,78.2,10.5,0.2,0.9,0,52393,24931,14.2,29.9,16.6,22.8,12.1,18.6,81.9,9.7,0.8,0.7,1.6,5.3,27.9,46890,81.4,13,5.4,0.2,6
Bastrop,TX,30.10370699,-97.31206354,80306,36709,20486,15452,0.558,0.421,2023,32,40845,39461,36,53.7,7.7,0.4,0.9,0,59185,25172,13.3,33.3,16.3,21.6,16.2,12.6,80.7,12,0.2,1.4,1.8,3.9,34.4,33500,71.5,20.2,8.1,0.2,7.7
Bates,MO,38.25271289,-94.34113157,16405,8435,6595,1672,0.782,0.198,271,8,8010,8395,2.1,94.5,1.2,0.4,0.2,0.1,45605,25873,14.3,27.1,20.1,20.9,16.1,15.9,74.6,12.7,0.6,3,1,8.1,30.1,7261,74.5,13.6,11.6,0.3,5.2
Bath,KY,38.14735938,-83.74588932,12189,5627,3986,1573,0.708,0.28,138,1,6012,6177,1.5,95.4,1,0.1,0.3,0,38763,20059,24,26.3,17.9,17.5,9.2,29.2,82.3,12.4,0.2,1.3,0.4,3.4,25.5,4462,75.1,16.9,7.9,0.1,7.8
Bath,VA,38.05852573,-79.73912095,4458,2513,1824,674,0.726,0.268,26,0,2311,2147,5.7,85.3,2.7,0,0.3,0,44483,28195,9.3,21.6,30.4,19.9,11,17,82.7,4.5,1.5,5,0,6.3,24.5,2073,81.5,17,1.5,0,9.1
Baxter,AR,36.28784385,-92.33782872,41093,20968,15810,4625,0.754,0.221,776,11,19857,21236,2.1,95.1,0.2,0.5,0.4,0,40072,24737,12.6,30.1,19,22.9,10.5,17.6,84.1,9.2,0.4,2.4,0.7,3.3,16.4,15926,79.5,11.7,8.6,0.2,5.8
Bay,FL,30.26548745,-85.62122584,180117,93131,66063,25572,0.709,0.275,6879,134,89542,90575,6,77.3,10.7,0.7,2.3,0,50283,26742,15.4,32,22.2,25.1,10.2,10.5,81.7,10.5,1.2,1.3,2,3.3,22.8,80334,77.5,16,6.2,0.4,6.4
Bay,MI,43.70639106,-83.98731479,105350,60985,33347,26653,0.547,0.437,1602,65,51875,53475,5.2,90.4,1.5,0.2,0.6,0,45983,25462,16.3,29.4,20.4,25,8.8,16.4,86.2,7.6,0.7,1.4,0.9,3.2,22.1,46195,83.8,10.6,5.5,0.1,7.4
Bayfield,WI,46.52868768,-91.19716729,15004,10880,4617,6147,0.424,0.565,280,2,7642,7362,1.7,85,0.6,10,0.5,0,50110,28272,11,36,20.4,18.5,13.9,11.3,75.8,10.3,2.2,4,1.1,6.5,23.8,6994,67.5,21.5,10.6,0.5,5.5
Baylor,TX,33.61640794,-99.21352901,3602,1680,1478,179,0.88,0.107,46,3,1740,1862,10.1,83.8,3.2,0,0,0,36157,30820,13.1,34.2,17.9,27.2,14.9,5.9,89.5,7,0,1.6,1.4,0.6,10.6,1434,70.9,17.2,11.9,0,2.3
Beadle,SD,44.41464384,-98.27858469,18163,7081,4808,2107,0.679,0.298,1397,15,9219,8944,9.1,79.5,0.4,1.4,9.3,0,48995,24950,23.7,29.7,13,23.5,9.4,24.3,80.1,11.3,1.2,2.4,1.4,3.6,13.9,9105,77.4,12.9,9.5,0.3,2.1
Bear Lake,ID,42.28269683,-111.3289238,5942,3215,2814,350,0.875,0.109,77,1,2928,3014,4.1,93.7,0.8,0.2,0.7,0,50603,24411,14.5,23.1,20.2,24.2,18.6,13.9,71.6,16.8,0.3,3.8,1.1,6.4,23,2523,75.6,14.5,9.4,0.4,3.7
Beaufort,NC,35.48531943,-76.84325809,47316,26128,16352,9575,0.626,0.366,1442,45,22596,24720,7.6,65.8,25.6,0,0.1,0,41101,24657,19.1,31.5,17.4,20.8,14.1,16.1,87.2,5.6,0.2,1.8,0.9,4.3,25.1,19051,76.3,16.4,7.2,0.1,9
Beaufort,SC,32.39226291,-80.72619758,179316,97835,53194,43419,0.544,0.444,6214,93,88524,90792,11.3,67.4,18.1,0.2,1.2,0.1,60603,34966,11.9,34.7,23.8,23.2,10.8,7.5,76.4,11.4,0.5,2.2,2.7,6.9,22.4,74171,79.9,13.6,6.2,0.2,6.3
Beauregard,LA,30.64836518,-93.34173616,36598,16357,13575,2542,0.83,0.155,1086,40,18631,17967,3.7,80,12.7,0.6,0.4,0,47350,24551,17.3,29.2,16.2,21.2,18.2,15.3,80.6,12,0.3,1.8,3.6,1.6,30.1,14174,76.5,18.2,5.2,0.1,7.4
Beaver,OK,36.7496847,-100.4758872,5445,2178,1968,190,0.904,0.087,99,1,2701,2744,22.1,76.4,0.1,0.6,0,0,52571,25935,11.7,33.8,12.6,19.1,18.5,15.9,81.7,7.2,0.7,2.7,1.2,6.5,19.3,2492,70.3,17.5,11.1,1.1,3.9
Beaver,PA,40.6825484,-80.34921611,168161,93083,54108,37747,0.581,0.406,2343,140,81606,86555,1.5,89.7,5.9,0,0.5,0,53981,29162,10.8,33.8,17.4,25.4,8.8,14.6,82.2,8.8,2,2.3,0.9,4,25.6,81802,86.4,9.3,4.2,0.1,5.6
Beaver,UT,38.35657051,-113.2342232,6414,3076,2673,356,0.869,0.116,0,0,3296,3118,10.9,88.7,0,0.1,0.2,0,47878,21128,10.5,23.9,18.7,25.1,15.9,16.4,80.2,12.5,0.2,2.6,1,3.4,16,2653,77.1,16.6,5.8,0.5,4.7
Beaverhead,MT,45.13434354,-112.8984694,9360,5661,3923,1608,0.693,0.284,284,1,4694,4666,4.2,91.3,0.1,2,0.6,0,43880,28420,16.1,34.1,19.4,21.8,15,9.7,70.4,8,0,10.8,2.7,8,14.2,4647,69,17.4,13,0.6,4.6
Becker,MN,46.93479392,-95.67158144,33552,19418,12452,6592,0.641,0.339,696,4,16672,16880,1.9,86.6,0.5,7.4,0.6,0,55884,28525,12.7,32.8,17.7,18.8,13.8,16.8,78.9,8.9,0.5,3.2,1.3,7.2,22.4,16143,75.1,16,8.7,0.2,3.6
Beckham,OK,35.26862449,-99.68128023,22971,7948,6767,1048,0.851,0.132,949,11,12263,10708,14.2,75.7,3.3,1.4,0.9,0.1,49625,23883,12.6,25.6,17.9,24.2,14.9,17.4,87.6,7.6,0.2,1.5,0.8,2.4,17,9296,78.1,14.5,6.4,1,4.6
Bedford,PA,40.00522157,-78.48998442,48891,27574,23025,4367,0.835,0.158,462,7,24404,24487,1.1,96.9,0.4,0.1,0.2,0,48703,24219,13.6,25.7,18.3,21.2,13.4,21.4,80.8,10,0.4,2.6,1.5,4.6,27.2,22161,80,11,8.6,0.3,5.9
Bedford,TN,35.51123746,-86.45549096,46854,19039,14317,4443,0.752,0.233,1830,23,23127,23727,11.8,77.8,6.6,0.1,0.4,0.1,47117,22953,16.9,24.7,14.8,21.5,12,27,81.8,12.6,0.1,1.1,1,3.5,25.1,21387,78.5,12.7,8.6,0.2,5.6
Bedford,VA,37.3080028,-79.5281964,77319,48484,35600,12176,0.734,0.251,1308,18,38012,39307,2,88.2,7,0.1,1.3,0,59405,30633,8.9,34.9,16.5,24.1,9.9,14.7,83.8,9.2,0.2,1,1.4,4.3,26.9,36735,81.7,13.2,5,0.1,4.4
Bee,TX,28.41761668,-97.74215593,32729,9405,5999,3280,0.638,0.349,1868,39,19883,12846,58.2,32.2,8.2,0.5,0.5,0,45415,17504,19.7,20.9,24.2,26.1,12.1,16.7,80.3,12.6,0,2.6,1.8,2.6,21.9,10125,71,23.3,5.5,0.2,6.3
Bell,KY,36.73355174,-83.67766671,27469,10044,8140,1789,0.81,0.178,825,17,13385,14084,0.3,94.5,3.3,0.1,0.2,0,23558,14754,38,24.6,19,22.4,13.7,20.3,75.8,15.6,0.1,2.9,2.6,2.9,20.6,7559,77.8,16.9,5.1,0.1,9
Bell,TX,31.03736027,-97.4785025,336506,125867,67113,56032,0.533,0.445,6560,100,168147,168359,24,47.2,21,0.3,2.8,0.7,52583,25017,14.3,33.1,19.9,25.9,9.4,11.7,81,11.6,0.4,2.1,1.4,3.5,20.6,135361,70.7,24.3,4.9,0.1,8.3
Belmont,OH,40.01625942,-80.9924051,68889,32534,23092,9007,0.71,0.277,885,27,35167,33722,0.9,93,4.1,0.2,0.4,0,46484,25326,14.1,28.3,20.4,22.4,14.1,14.8,88.3,6,0.4,2.3,0.9,2,23.2,29211,83.5,12.7,3.7,0.1,6.8
Beltrami,MN,47.97373527,-94.93732139,45847,24131,12188,11426,0.505,0.473,1016,11,22775,23072,2.2,72.5,0.9,20.4,0.8,0.1,45923,23748,19,33.7,22,23.4,10.3,10.6,75.6,11.1,2.1,3.7,1.3,6.1,19.8,20931,67.8,25.5,6.5,0.2,8.7
Ben Hill,GA,31.76095874,-83.22145359,17272,6560,4110,2392,0.627,0.365,887,34,8259,9013,6,56.5,36.2,0,0.2,0,32344,16635,30.4,24.3,18.1,18.7,11.3,27.6,84.3,10.9,0,1.5,2.6,0.6,17.5,6132,81.4,15.7,2.8,0.1,5.2
Benewah,ID,47.21754179,-116.6586851,9050,4972,3878,977,0.78,0.197,188,3,4568,4482,3.4,84.7,0.2,8.1,1,0.2,43472,23120,15.8,22.1,22.1,17.9,14.8,23.1,77.2,8.3,0.7,6.9,2.7,4.2,20.8,3450,69.6,20.7,9.5,0.2,9.6
Bennett,SD,43.19486375,-101.6665572,3440,1183,694,466,0.587,0.394,220,5,1567,1873,7.3,31,0.2,47.2,0.2,0,45725,15287,38.1,37,17.7,22.7,13.3,9.4,61.6,12.9,1.1,6.6,6.3,11.5,17.4,1212,48.1,39.2,11.8,0.9,13.5
Bennington,VT,43.03519828,-73.09048868,36054,7096,2473,4369,0.349,0.616,142,1,17689,18365,1.8,94.7,0.8,0.1,0.4,0,52251,31313,12.8,36.1,18.7,21.6,10.1,13.5,75.6,8.9,0.5,4.9,2,8,19.3,17605,77.6,10.8,11.4,0.2,4.4
Benson,ND,48.0683985,-99.35916363,6875,1961,1094,822,0.558,0.419,557,10,3520,3355,0.9,41.3,0,55.7,0.1,0,44500,21658,33.3,36.5,20.1,18.3,13.7,11.3,73.9,9.1,0.6,5.4,1.5,9.5,18,2432,59.1,26.2,14.7,0,6.5
Bent,CO,37.95474293,-103.0720195,5806,2229,1468,723,0.659,0.324,18,0,3767,2039,32,60.8,6.1,0.5,0.4,0,32500,14028,24.5,31,27.2,18.5,13.9,9.3,77.7,12,0,4,2.7,3.5,20.1,1370,47.6,40.1,12.3,0,9.3
Benton,AR,36.33644656,-94.25680817,251823,119166,73605,41894,0.618,0.352,8619,125,124632,127191,16.3,74.2,1.6,1.4,3.7,0.5,61271,30611,10.5,37.6,13.4,26,8.7,14.4,85.3,8.5,0.1,1.6,0.8,3.7,19.9,119813,86,8.2,5.7,0.1,3.1
Benton,IA,42.08011739,-92.06463573,25646,14627,9179,5156,0.628,0.352,733,4,12786,12860,1.4,96.6,0.7,0.1,0.3,0,64061,32356,8.7,31.8,13.3,23.9,11.9,19.2,82.4,8.8,0.1,3,0.9,4.8,23.8,13230,80.9,11.1,7.9,0.1,3.6
Benton,IN,40.60626947,-87.31093999,8685,4115,3007,1009,0.731,0.245,123,1,4349,4336,5.1,92.8,0.9,0,0.2,0,49183,23652,14.9,25.2,12.9,24.5,14.1,23.3,78,11.7,0.6,3,0.8,6,26.3,4126,73.6,15.8,10,0.6,4.2
Benton,MN,45.69804958,-93.99514135,39360,22219,14382,7281,0.647,0.328,1134,14,19652,19708,2.2,91.5,2.8,0.3,1.1,0,53574,27018,14.1,31.1,17.2,22.9,9.8,19,82.7,8.3,1.3,1.9,1.8,4.1,23.1,20468,82.7,11.6,5.4,0.3,4.2
Benton,MO,38.29503305,-93.28756116,18918,10478,8106,2179,0.774,0.208,504,7,9308,9610,1.9,95.3,0.4,0.4,0.1,0,35097,20163,18.6,31,18.5,21.4,11.5,17.6,75.8,14,0.6,1.5,1.4,6.7,27.4,6177,73.2,16,10.8,0,9.7
Benton,MS,34.81681228,-89.18945516,8306,4257,2553,1661,0.6,0.39,376,11,4257,4049,2.5,60.2,36.6,0,0,0,40605,18599,20.2,24.4,12.1,20.9,11.7,30.9,88.2,6.9,0,0.5,2.3,2.1,30.5,2923,83,11.6,5.4,0,13.7
Benton,OR,44.49167306,-123.4316987,88249,52719,14853,35780,0.282,0.679,465,6,44598,43651,7.1,81.3,1,0.5,6.6,0.3,54682,30873,20.7,50.2,17.8,18.3,6.5,7.1,65.3,7.9,2.2,7.5,9.6,7.5,19.6,41703,66.2,27.6,6.1,0.1,6.7
Benton,TN,36.07110411,-88.06849355,16154,7250,5661,1526,0.781,0.21,441,10,7794,8360,2.2,93.2,3.4,0.3,0,0,33702,21282,22.3,23.2,19.3,21.3,12.2,23.9,87,9.7,0.3,0.2,1.7,1.1,24.4,5721,72.5,20.2,7.3,0,9.1
Benton,WA,46.23946995,-119.5120834,190529,100997,59746,38081,0.592,0.377,5385,135,95438,95091,20.8,71.6,1.4,0.6,2.5,0.1,63001,30511,13.4,39.4,16.3,21.2,11.3,11.8,81.2,10.7,1,1.7,1.1,4.2,21.8,85352,78.4,17.3,4.3,0.1,6
Benzie,MI,44.63899297,-86.01608482,17462,12259,6600,5480,0.538,0.447,145,2,8694,8768,2.4,93.9,0.3,1.4,0.4,0,53185,26790,10,31,20.5,22.9,13.4,12.2,75.9,13.4,1.2,1.8,1.5,6.1,26.2,7679,78.1,14.8,6.9,0.2,6.5
Bergen,NJ,40.96010917,-74.07164325,937920,448647,182831,259358,0.408,0.578,25526,2063,454204,483716,18.9,57.8,5.3,0.1,16.2,0,91572,46601,7.2,47.9,13.5,24.3,6.3,8,68.7,7.4,14.9,2.8,1.4,4.7,32.3,473672,83.2,11.3,5.3,0.2,5.2
Berkeley,SC,33.20222596,-79.94654523,204632,104458,57397,45223,0.549,0.433,6232,95,101773,102859,6.3,64,23.9,0.4,2.3,0.1,56697,27010,12.8,33.1,17.6,24,11.3,13.8,82.5,9.2,0.6,2.9,1.1,3.6,27.3,93092,77.2,18.1,4.6,0.1,6.4
Berkeley,WV,39.46704621,-78.02414609,111610,49146,32062,16075,0.652,0.327,1692,18,54961,56649,4,84.6,7.2,0.1,1.1,0.1,59480,27658,13,33.9,17.2,24.3,9.5,15,82.6,11.6,0.8,1,0.2,3.8,31.2,52254,74.2,21.8,3.7,0.2,8.3
Berks,PA,40.41570541,-75.92457766,415500,198260,105941,89530,0.534,0.452,9648,425,204283,211217,19.6,73.2,4.1,0.1,1.4,0,59580,29041,13.6,31.8,16.7,23.3,8.7,19.4,79.8,9.8,1.6,3.3,1.6,3.9,24.9,201177,85.7,9.1,5.1,0.1,7.3
Bernalillo,NM,35.05163625,-106.6703554,674855,315332,115674,192042,0.367,0.609,11859,212,330743,344112,49.5,39.5,2.5,4,2.3,0.1,50386,28340,18,40.2,19.9,23.9,8.3,7.7,80.2,9.1,1.8,1.9,2.5,4.4,21.9,313658,74.3,19.8,5.7,0.2,6.7
Berrien,GA,31.27590016,-83.2252992,19014,7743,6419,1269,0.829,0.164,503,14,9297,9717,4.9,82.3,10.8,0.2,1,0,38297,18064,23.7,22.8,19.7,20.6,15.9,21.1,80.4,13.7,0.1,1.6,1.9,2.3,23.8,7062,77.3,17.7,4.8,0.3,9.4
Berrien,MI,41.95447397,-86.4131308,154948,82378,43518,37438,0.528,0.454,2985,86,75835,79113,5.2,75.1,14.6,0.3,1.9,0,47132,27505,17.2,34.2,18.5,22.3,9,16,82,8.6,0.6,2.7,1.7,4.5,19.3,70439,84.9,9,5.9,0.2,7.3
Bertie,NC,36.0688473,-76.96545943,19913,9676,3778,5846,0.39,0.604,737,20,10057,9856,2.1,34.3,61.6,0.6,0.6,0,31287,18319,22,23.7,16,18.6,12.7,29,80.7,11.6,0.7,2,1.9,3.1,24.8,7307,74,20.5,5.3,0.2,12.7
Bexar,TX,29.44928723,-98.52019748,1892004,756021,303871,440823,0.402,0.583,66064,1414,932577,959427,59.8,28.4,7,0.2,2.6,0.1,53999,26158,16.4,34.8,19.6,26,9.7,10,79.3,10.9,2.6,1.7,1.4,4.2,25,867502,80.7,13.8,5.5,0.1,6.1
Bibb,AL,32.99642064,-87.1251146,22580,9573,7508,1982,0.784,0.207,878,15,12251,10329,2.4,74.6,22,0.4,0,0,43404,20911,15.2,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30,8171,76,17.4,6.3,0.3,8.2
Bibb,GA,32.80904227,-83.70489165,153923,70802,26585,43468,0.375,0.614,6707,200,72312,81611,3.2,39.3,54,0.2,1.9,0,38183,23426,26.7,34.8,21.1,26.7,6.4,11,82,9.9,1,2.3,1.9,3,21.1,60590,79.8,15.9,4.1,0.1,10.4
Bienville,LA,32.34569994,-93.05398492,13806,7050,3891,3067,0.552,0.435,623,35,6692,7114,1.7,54.3,41.5,0.1,0,0,34077,22701,25.3,30,15.8,19.1,13.9,21.2,86,8.6,0.2,1.6,0.8,2.8,32.6,5020,68.9,23.4,6.8,0.9,7.4
Big Horn,MT,45.42335905,-107.492347,13290,4669,2185,2401,0.468,0.514,1400,38,6566,6724,5.6,27.7,0.1,65,0.1,0,47276,17905,26.8,33.9,22.6,22.7,14,6.8,70,11.1,0.5,7.1,1.3,10,18.1,4789,46.9,45.5,7.1,0.5,15.9
