county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Itasca ,MN,2365,5306,4710,4392,4987,5336,7419,6153,3107,1333
Itawamba ,MS,1313,2925,3376,2973,2699,3154,2925,2292,1379,481
Izard ,AR,585,1441,1346,1422,1445,1794,2054,1863,1198,445
Jack ,TX,484,1099,1184,1234,1061,1161,1106,882,490,142
Jackson ,AL,2776,6007,5852,5864,6199,6960,7705,6080,3336,957
Jackson ,AR,981,1839,1870,2445,2190,2163,2272,1785,929,337
Jackson ,CO,69,129,116,164,173,180,257,182,96,33
Jackson ,FL,2436,4909,5633,6544,6666,6260,6433,5258,3032,1134
Jackson ,GA,4598,10171,8372,9215,9730,9795,8385,6181,3143,832
Jackson ,IL,3123,5510,14195,7694,5779,5570,6531,5160,2536,1321
Jackson ,IN,3029,5903,5267,5371,5709,5807,5807,4132,2227,859
Jackson ,IA,1133,2404,2216,1969,2084,2483,3082,2241,1188,632
Jackson ,KS,854,1856,1631,1392,1425,1732,1860,1478,760,292
Jackson ,KY,860,1687,1479,1555,1743,1870,1931,1454,695,168
Jackson ,MI,8967,18994,19905,20181,18442,21043,23009,16590,8191,3501
Jackson ,MN,546,1210,1049,1038,1154,1107,1590,1107,699,411
Jackson ,MS,8248,19110,17593,18868,18214,18979,19544,13641,7018,2062
Jackson ,MO,46270,91966,84227,109569,88032,84533,91055,60866,30003,13786
Jackson ,NC,1927,4012,9172,4989,4340,4733,5627,5219,2508,800
Jackson ,OH,2080,4299,3744,4077,3919,4207,4456,3418,1609,575
Jackson ,OK,1903,3437,3552,3753,2959,2690,2954,2038,1173,490
Jackson ,OR,12186,25625,24038,27798,25825,25142,30714,28608,13914,5714
Jackson ,SD,354,604,493,381,301,351,381,248,135,59
Jackson ,TN,558,1204,1160,1278,1276,1640,2001,1600,802,239
Jackson ,TX,1022,2128,1791,1855,1771,1674,1948,1429,879,377
Jackson ,WV,1536,3469,3172,3098,3320,3914,4341,3228,1948,680
Jackson ,WI,1205,2450,2309,2503,2371,2687,3068,2272,1184,429
Jackson Parish,LA,873,2003,1820,2131,1875,1936,2098,1732,1046,388
James City ,VA,3779,8681,8132,7762,8324,9601,10817,10680,6294,2327
Jasper ,GA,827,1913,1626,1618,1603,1933,2066,1515,706,233
Jasper ,IL,575,1226,1092,1038,1102,1208,1508,1044,535,283
Jasper ,IN,1918,4404,4613,3630,4056,4160,4717,3444,1814,614
Jasper ,IA,2093,4727,4218,4421,4582,4717,5280,3828,2175,1106
