county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Abbeville ,SC,1151,2850,3206,2658,2544,3205,3584,3150,1602,591
Acadia Parish,LA,4373,9029,7778,8281,7431,7561,8246,5508,2842,1141
Accomack ,VA,1810,3743,3120,3617,3322,3892,5270,4451,2301,886
Ada ,ID,27274,64428,60582,67279,66237,59759,56615,42027,18576,7189
Adair ,IA,384,860,744,787,750,806,1129,805,483,315
Adair ,KY,1059,2106,2988,2245,2055,2508,2683,2100,1099,372
Adair ,MO,1276,2556,7843,2622,2161,2453,2673,2067,1162,526
Adair ,OK,1637,3234,2833,2666,2626,2798,2776,2086,1090,336
Adams ,CO,36180,76990,66943,83695,75524,63419,55530,33423,14702,5462
Adams ,ID,169,453,327,359,384,434,903,771,350,100
Adams ,IL,4145,8169,7593,7977,7452,7809,9256,6862,4077,2351
Adams ,IN,3327,6096,4740,4146,3819,3856,4128,2977,1643,904
Adams ,IA,212,437,347,398,369,411,630,447,279,115
Adams ,MS,1821,3382,3405,4137,4135,3659,4779,3399,1736,739
Adams ,NE,2085,4104,4729,3720,3427,3458,4252,3208,1668,860
Adams ,ND,117,245,199,247,230,236,381,312,204,123
Adams ,OH,1651,3751,3247,3064,3234,3727,4079,2911,1573,487
Adams ,PA,5121,11683,13303,11203,10812,14239,15496,12058,6215,2681
Adams ,WA,1907,4068,2979,2478,2204,1988,1950,1336,607,242
Adams ,WI,693,1692,1676,1958,1957,2513,3936,3521,1883,519
Addison ,VT,1572,3500,6249,3770,3951,4839,5735,4554,1996,807
Aiken ,SC,9800,20628,19598,21516,19467,21230,24261,19588,9811,3502
Aitkin ,MN,594,1595,1299,1221,1319,1720,2903,2978,1738,535
Alachua ,FL,14113,26947,63759,42246,29470,26331,29254,22747,10490,4599
Alamance ,NC,9632,20795,23870,20725,19106,22391,21790,15811,8636,3680
Alameda ,CA,96716,190795,193016,279197,251174,222163,203182,136407,63683,30420
Alamosa ,CO,1088,2282,3543,2327,1808,1560,1804,1376,661,234
Albany ,NY,15326,30932,55095,40733,35263,37257,40438,29769,14537,7767
Albany ,WY,1843,3476,11707,6168,4003,3103,3771,2851,1229,450
Albemarle ,VA,5712,12012,16825,14069,12637,12864,14351,11454,5928,2866
Alcona ,MI,314,734,770,716,790,1225,2100,2025,1327,361
Alcorn ,MS,2113,4758,4535,4575,4472,4846,4813,3962,2156,695
Aleutians East Borough,AK,83,155,377,564,744,776,492,226,70,28
Aleutians West Census Area,AK,180,351,628,1057,1036,1148,929,327,46,21
Alexander ,IL,391,780,574,624,619,764,980,744,416,168
Alexander ,NC,1826,4325,4135,4369,4493,5404,5312,4370,2384,735
Alexandria city,VA,11469,14232,13332,34557,29478,21387,17610,11457,4726,2282
Alfalfa ,OK,304,646,528,606,889,853,799,585,375,169
Alger ,MI,333,748,932,1018,1024,1100,1607,1398,695,242
Allamakee ,IA,958,1783,1467,1393,1390,1572,2126,1748,982,413
Allegan ,MI,7283,16211,14067,13978,13915,15431,17028,11813,5597,2004
Allegany ,MD,3208,6875,10897,9179,8115,8905,9396,7779,4690,1931
Allegany ,NY,2432,5214,8565,4729,4678,5302,6695,5165,2594,1056
Alleghany ,NC,518,1067,1061,1044,1111,1454,1883,1738,934,351
Alleghany ,VA,634,1583,1644,1460,1457,2114,2336,2061,1187,434
Allegheny ,PA,63965,124919,145982,187640,143566,146446,175557,127343,67021,36013
Allen ,IN,26135,53829,50205,52106,46310,45611,46437,32463,15247,7008
Allen ,KS,701,1580,1631,1369,1407,1438,1741,1388,814,375
Allen ,KY,1253,2750,2434,2689,2448,2931,2892,2257,1150,318
Allen ,OH,6323,13217,14111,12646,11986,12239,14024,10266,5287,2564
Allen Parish,LA,1518,3175,3061,4034,3548,3348,3077,2208,1199,437
Allendale ,SC,416,937,1091,1264,991,1241,1173,1144,459,187
Alpena ,MI,1348,2922,2943,2989,3074,3551,4886,3661,2089,897
Alpine ,CA,44,105,130,109,83,133,217,193,64,23
Amador ,CA,1615,3275,3267,4296,4631,5185,6481,6489,3058,1086
Amelia ,VA,647,1528,1420,1482,1383,1769,2208,1489,798,289
Amherst ,VA,1641,3530,3664,3584,3316,4415,4815,3789,2114,798
Amite ,MS,671,1420,1293,1263,1224,1448,2111,1632,919,345
Anchorage Municipality,AK,20944,39089,39959,50523,38260,35043,35387,21160,8166,3007
Anderson ,KS,517,1135,902,775,872,871,1130,840,587,249
Anderson ,KY,1384,3058,2596,2719,2890,3357,3087,2158,1038,376
Anderson ,SC,11892,25968,24487,24555,23754,26685,26956,21233,11170,3782
Anderson ,TN,4013,9191,8509,9277,8861,10168,11107,8783,4418,2155
Anderson ,TX,3016,6149,6501,9329,9278,8336,6857,5022,2683,886
Andrew ,MO,1001,2334,1976,2013,2168,2261,2601,1845,991,417
Andrews ,TX,1569,3104,2511,2679,2420,2053,1914,1082,559,237
Androscoggin ,ME,6274,13285,12767,13375,12721,14640,15526,11150,5509,2432
Angelina ,TX,5951,12621,11264,11174,10298,10777,10789,8062,4427,1729
Anne Arundel ,MD,35416,71855,70930,81887,76466,78322,76605,50330,24607,9613
Anoka ,MN,22201,47409,42196,46743,47024,48949,49579,30412,14200,5100
Anson ,NC,1276,2701,3010,3564,3018,3286,3428,2714,1368,512
Antelope ,NE,440,833,690,608,642,633,997,767,499,227
Antrim ,MI,1076,2346,2311,2169,2101,2840,4180,3683,1984,675
Apache ,AZ,4799,11347,10184,9390,7726,8129,9257,6472,3359,1155
Appanoose ,IA,709,1586,1332,1259,1330,1492,1906,1541,861,421
Appling ,GA,1255,2581,2264,2197,2206,2312,2503,1896,966,327
Appomattox ,VA,924,1861,1742,1909,1788,2019,2318,1871,1066,343
Aransas ,TX,1141,2312,2270,2183,2209,2742,3886,3943,2404,702
Arapahoe ,CO,40524,86497,79142,102749,93385,84583,79270,53289,22464,9312
Archer ,TX,461,1098,994,928,979,1149,1419,956,591,211
Archuleta ,CO,642,1425,1200,1282,1490,1631,2510,2470,857,258
Arenac ,MI,721,1512,1453,1483,1511,1818,2796,2228,1138,381
Arkansas ,AR,1179,2242,1991,2036,2084,2207,2546,2004,1041,439
Arlington ,VA,14285,22999,25242,57149,39541,29723,23373,15401,6726,3082
Armstrong ,PA,3180,7177,6641,6997,7256,8855,10819,8007,4386,1945
Armstrong ,TX,108,263,179,176,224,194,295,257,152,44
Aroostook ,ME,3234,6713,7317,6535,6983,8949,11184,9190,4897,2109
Arthur ,NE,24,72,65,51,54,45,52,54,41,7
Ascension Parish,LA,8851,18891,15638,17379,17597,16959,14623,9273,4187,1274
Ashe ,NC,1106,2801,2581,2671,3005,3580,4398,4071,2160,736
Ashland ,OH,3108,6780,8077,5965,5811,6519,7429,5596,3152,1308
Ashland ,WI,880,1927,2094,1628,1753,1796,2467,1831,854,370
Ashley ,AR,1226,2546,2320,2248,2233,2624,2768,2367,1339,375
Ashtabula ,OH,5562,12124,11229,11317,10903,13138,14631,10726,5586,2277
Asotin ,WA,1165,2603,2267,2617,2539,2593,3554,2891,1728,653
Assumption Parish,LA,1249,2679,2660,2822,2615,2984,3271,2365,1181,474
Atascosa ,TX,3671,7745,6813,6485,6314,5998,5899,4338,2218,829
Atchison ,KS,969,2153,2885,1705,1732,1870,2100,1477,914,388
Atchison ,MO,251,590,499,529,558,668,761,709,408,198
Athens ,OH,2545,5256,20345,8266,6705,6691,7339,5360,2423,888
Atkinson ,GA,598,1209,1123,1094,1026,1071,1009,708,371,88
Atlantic ,NJ,14367,31935,33939,31919,29522,36260,39876,27382,14322,5907
Atoka ,OK,832,1765,1555,1829,1629,1644,1838,1571,895,280
Attala ,MS,1164,2709,2229,2075,2035,2250,2382,1935,1129,457
Audrain ,MO,1610,3064,3191,3299,3218,3096,3443,2585,1412,555
Audubon ,IA,333,608,568,528,536,628,943,658,437,267
Auglaize ,OH,2926,6196,5531,5231,5207,5761,6526,4694,2526,1206
Augusta ,VA,3455,8203,8358,8806,8655,10552,11551,9083,5021,1773
Aurora ,SD,179,378,350,314,297,308,398,306,182,89
Austin ,TX,1768,4106,3649,3395,3339,3666,4367,3365,1715,619
Autauga ,AL,3364,7305,6928,7166,7244,7777,7164,4900,2882,871
Avery ,NC,653,1474,2145,2185,2212,2461,2484,2263,1196,432
Avoyelles Parish,LA,2691,5286,4866,5541,5017,4973,5238,3913,2107,830
Baca ,CO,196,477,381,370,363,365,547,440,278,168
Bacon ,GA,732,1627,1434,1384,1454,1395,1365,1100,539,155
Bailey ,TX,577,1243,1041,806,848,710,777,545,348,132
Baker ,FL,1778,3776,3486,4267,3662,3848,3523,2419,1224,372
Baker ,GA,164,322,346,340,307,403,514,412,187,97
Baker ,OR,837,1777,1502,1717,1650,1792,2504,2399,1337,491
Baldwin ,AL,11955,26783,24040,24528,26033,28703,31409,26738,13529,4304
Baldwin ,GA,2125,4864,9654,5300,4755,5190,5758,4347,2095,735
Ballard ,KY,396,985,916,864,924,1062,1162,950,519,201
Baltimore ,MD,48780,100097,102628,114031,101208,105539,113838,79409,40334,22567
Baltimore city,MD,37992,66968,75494,115483,75614,70029,76528,50236,23489,10662
Bamberg ,SC,654,1525,2335,1464,1387,1743,2070,1797,881,419
Bandera ,TX,949,2181,2067,2002,2142,2892,4434,3831,1783,543
Banks ,GA,1119,2300,2330,2250,2369,2707,2592,2083,996,242
Banner ,NE,49,94,77,70,74,66,126,114,43,17
Bannock ,ID,6205,12742,12916,12913,11087,8825,10050,7620,3464,1316
Baraga ,MI,328,856,949,991,965,1121,1270,1064,563,213
Barber ,KS,273,583,437,491,440,457,764,606,275,146
Barbour ,AL,1284,2957,2923,3466,2981,3227,3211,2877,1483,472
Barbour ,WV,824,1862,2469,1812,1838,2048,2349,1922,1046,365
Barnes ,ND,555,1169,1414,1101,1119,1197,1586,1264,728,409
Barnstable ,MA,7852,18025,21182,19088,18590,25810,37567,37076,19583,8640
Barnwell ,SC,1278,2886,2607,2439,2302,2676,3051,2368,1062,443
Barren ,KY,2905,5732,5135,5333,5387,5800,6066,4438,2429,951
Barron ,WI,2462,5596,4830,4835,5004,5493,7036,5659,3006,1243
Barrow ,GA,5433,12091,9910,11819,11371,10793,9334,6357,2758,943
Barry ,MI,3380,7702,7234,6930,7002,8100,9555,6752,3335,1167
Barry ,MO,2173,4588,4076,3978,3797,4481,5405,4247,2360,781
Bartholomew ,IN,5448,11023,9907,11991,10261,10407,10229,7763,4098,1626
Barton ,KS,1633,3522,3274,3092,2834,2768,3970,2656,1511,851
Barton ,MO,674,1551,1472,1238,1328,1375,1737,1310,766,347
Bartow ,GA,6886,14242,13416,14485,13347,15213,13903,9337,4202,1377
Bastrop ,TX,5922,12310,11173,10560,10520,11151,12129,8530,3503,1178
Bates ,MO,958,2143,1959,1825,1880,1975,2416,1676,1108,380
Bath ,KY,828,1760,1513,1343,1496,1701,1662,1236,618,226
Bath ,VA,189,347,391,448,403,612,715,672,368,147
Baxter ,AR,1921,4162,3726,3914,3831,4661,6544,6759,4502,1599
Bay ,FL,11333,22153,20847,26717,22381,23792,26386,18407,9468,3803
Bay ,MI,5245,11906,11869,12747,11856,13225,15880,12060,6344,2791
Bayfield ,WI,677,1416,1377,1238,1402,1898,2865,2578,1196,395
Baylor ,TX,212,476,366,378,394,412,491,412,301,140
Beadle ,SD,1659,2708,2276,2294,2155,2004,2578,1699,958,552
Bear Lake ,ID,405,914,726,642,672,613,830,730,368,150
Beaufort ,NC,2277,5385,5153,4735,5101,5913,7234,6771,3344,1166
Beaufort ,SC,9662,19673,22743,20814,18844,19735,25802,30623,15975,4844
Beauregard Parish,LA,2517,5079,4710,5080,4704,4600,4692,3526,1771,574
Beaver ,OK,310,802,643,558,586,657,714,569,330,150
Beaver ,PA,8362,18063,17612,19242,18598,21010,26443,19490,10768,5154
Beaver ,UT,574,1207,907,748,809,612,775,564,306,78
Beaverhead ,MT,437,855,1717,1006,963,945,1411,1164,669,237
Becker ,MN,2133,4811,3951,3562,3888,3793,5181,4168,2072,812
Beckham ,OK,1485,3035,2689,3394,2840,2480,2672,1765,929,420
Bedford ,PA,2425,5154,5201,4988,5119,6678,7593,5877,3634,1507
Bedford ,TN,3284,7045,6164,6534,6109,6477,6028,4498,2226,673
Bedford ,VA,3605,8963,8780,8040,8201,11352,13017,10014,5096,1679
Bee ,TX,1895,3824,4828,5688,4944,4069,3327,2323,1246,443
Belknap ,NH,2707,6440,6301,6523,6653,8192,10701,8149,3703,1653
Bell ,KY,1565,3113,3090,3285,3036,3588,3787,3012,1533,560
Bell ,TX,30043,53793,54754,59279,46289,38058,34841,23272,10977,4336
Belmont ,OH,3242,7206,7352,8534,7883,8641,10575,8050,4048,1974
Beltrami ,MN,3318,6705,8021,5852,5050,4631,5722,4310,2200,1038
Ben Hill ,GA,1074,2390,2032,2044,1933,2113,2262,1756,885,298
Benewah ,ID,526,1198,941,898,941,1116,1533,1277,638,158
Bennett ,SD,336,674,511,445,319,363,387,236,146,51
Bennington ,VT,1670,3813,4525,3486,3511,4629,5835,4594,2423,1145
Benson ,ND,766,1352,900,815,649,670,842,585,284,99
Bent ,CO,191,527,677,1006,866,804,756,587,322,146
Benton ,AR,19055,40548,34065,40135,38937,33984,29327,21371,11012,4174
Benton ,IN,555,1202,1034,951,1045,1099,1224,848,489,206
Benton ,IA,1554,3366,2899,2649,3037,3462,3908,2564,1470,733
Benton ,MN,2938,5719,4881,5985,5540,4957,4816,3112,1592,1005
Benton ,MS,490,967,972,1004,944,1133,1214,864,507,176
Benton ,MO,847,1847,1647,1579,1612,2330,3477,3478,1896,565
Benton ,OR,3799,8392,23823,12148,9349,8990,10655,9179,3990,1776
Benton ,TN,815,1861,1655,1612,1745,2233,2438,2250,1175,400
Benton ,WA,14468,30674,25764,27564,25496,23029,24785,18151,8589,3357
Benzie ,MI,835,1779,1704,1826,1747,2135,3088,2676,1436,527
Bergen ,NJ,49659,112273,112720,108511,123764,136068,132611,87545,48593,24948
Berkeley ,SC,14285,29940,29128,32641,29127,28312,27248,19536,8555,2319
Berkeley ,WV,7180,15367,13499,16524,15544,16342,15492,11042,4737,1396
Berks ,PA,24151,52808,57196,52144,48345,55813,57343,40586,21139,10627
Berkshire ,MA,5292,11876,16176,13574,13097,16419,20516,16593,8522,4283
Bernalillo ,NM,37745,83734,87330,101054,87708,81649,88265,66532,31483,13201
Berrien ,GA,1227,2590,2304,2428,2199,2595,2617,1929,1005,358
Berrien ,MI,8807,18966,18318,18149,17437,19452,22610,17282,9132,3988
Bertie ,NC,818,1922,2071,2423,2005,2348,3060,2456,1326,597
Bethel Census Area,AK,2043,3517,2893,2825,1859,1820,1857,948,373,81
Bexar ,TX,141698,282270,287844,317847,268534,237361,209874,143813,68271,28537
Bibb ,AL,1285,2497,2573,3327,2952,3179,2897,2174,1153,363
Bibb ,GA,10433,20958,21762,20963,17707,18184,19212,14002,7003,2871
Bienville Parish,LA,780,1668,1493,1631,1379,1637,1935,1471,894,420
Big Horn ,MT,1237,2544,1819,1740,1391,1368,1532,1086,476,145
Big Horn ,WY,746,1728,1394,1238,1314,1328,1638,1436,777,282
Big Stone ,MN,277,598,489,482,451,527,841,615,441,268
Billings ,ND,69,91,72,122,116,109,134,113,60,33
Bingham ,ID,3453,8347,6300,5592,5750,4736,5463,3887,1974,734
Black Hawk ,IA,8367,15939,24072,17339,15053,13784,16135,12353,6280,3086
Blackford ,IN,659,1475,1370,1322,1232,1554,1738,1427,852,301
Bladen ,NC,1684,3852,3744,3577,3771,4251,5064,4385,2122,740
Blaine ,ID,1085,2908,2563,2321,2803,3054,3432,2817,1284,334
Blaine ,MT,562,1140,894,858,755,714,835,595,310,144
Blaine ,NE,26,54,49,52,36,57,81,64,43,14
Blaine ,OK,687,1416,1064,982,996,1091,1387,1015,586,261
Blair ,PA,6464,14212,13756,15012,14025,15633,17945,14042,7737,3666
Blanco ,TX,511,1202,1230,1013,1208,1529,2168,1781,826,234
Bland ,VA,240,532,599,774,805,981,915,831,471,145
Bleckley ,GA,678,1436,2361,1510,1378,1638,1674,1146,711,306
Bledsoe ,TN,600,1188,1515,2034,2177,2240,2278,1639,826,258
Blount ,AL,3460,7537,6846,6934,7067,7818,7630,6243,3273,1032
Blount ,TN,6588,14940,15307,15487,15095,18402,18955,15588,8109,2878
Blue Earth ,MN,3689,7413,16608,9248,7416,6400,7285,5162,2745,1461
Boise ,ID,275,724,678,614,761,1019,1644,1315,474,130
Bolivar ,MS,2074,4341,4610,4376,3503,3602,3876,3097,1352,502
Bollinger ,MO,587,1520,1323,1296,1371,1657,1913,1456,789,257
Bon Homme ,SD,370,776,870,927,850,823,942,703,416,303
Bond ,IL,791,1840,1857,2323,2201,2083,2449,1732,920,434
Bonner ,ID,2265,4903,4322,4306,4912,5268,7778,6954,3047,972
Bonneville ,ID,9772,20403,15627,15999,15135,11864,12511,9230,4513,1800
Boone ,AR,2387,4801,4127,4396,4262,4675,5089,4348,2463,932
Boone ,IL,3017,7582,7600,5721,6500,7763,6910,4909,2656,919
Boone ,IN,4531,10206,8195,7991,9261,9267,8594,5327,2670,957
Boone ,IA,1388,3124,3062,3214,3301,3318,4085,2805,1350,699
Boone ,KY,8606,19448,16720,16179,17878,18483,16415,11126,4991,1687
Boone ,MO,10513,20303,40312,27487,21282,18565,19485,13393,5922,2743
Boone ,NE,327,690,582,521,518,551,854,565,394,237
Boone ,WV,1117,2659,2436,2229,2813,3014,3280,2818,1203,382
Borden ,TX,33,73,64,47,67,113,91,77,56,27
Bosque ,TX,1033,2316,1953,1812,1933,2203,2834,2596,1440,571
Bossier Parish,LA,8802,17709,16354,19435,17019,14565,15061,10492,5623,2125
Botetourt ,VA,1404,3575,3625,3197,3456,4998,5453,4562,2253,754
Bottineau ,ND,348,785,750,654,646,677,1022,892,428,209
Boulder ,CO,14494,35906,60146,45752,40667,41569,41058,28839,12409,5238
Boundary ,ID,701,1543,1373,1063,1312,1443,1822,1677,740,274
Bourbon ,KS,1036,2089,1937,1644,1604,1501,1953,1605,837,447
Bourbon ,KY,1226,2607,2363,2296,2322,2730,2825,2117,1221,477
Bowie ,TX,6117,12518,11718,12990,12076,11534,11766,8975,4593,2037
Bowman ,ND,192,442,326,323,349,294,491,332,210,117
Box Butte ,NE,727,1528,1235,1232,1262,1088,1658,1215,519,308
Box Elder ,UT,4514,10046,7560,6960,7401,5338,6022,4043,2294,772
Boyd ,KY,2631,5614,5070,5698,5881,6301,6824,5245,2863,1113
Boyd ,NE,88,207,219,150,169,196,328,308,179,111
Boyle ,KY,1605,3345,4665,3623,3396,3851,3858,3192,1724,841
Bracken ,KY,491,1101,934,974,971,1164,1234,839,402,129
Bradford ,FL,1494,3048,3075,4254,3652,3589,3685,2742,1582,611
Bradford ,PA,3560,7591,6604,6647,6249,7801,9426,7291,4067,1597
Bradley ,AR,662,1518,1197,1318,1305,1360,1470,1132,656,279
Bradley ,TN,6134,12904,14467,13653,13115,14393,13786,10584,5737,1954
Branch ,MI,2628,5706,5118,5188,5146,5563,6341,4632,2477,823
Brantley ,GA,1146,2506,2326,2313,2194,2710,2562,1946,921,273
Braxton ,WV,701,1543,1439,1602,1568,1886,2120,1937,954,339
Brazoria ,TX,25765,55663,46636,52243,54548,48965,42702,27212,12157,4309
Brazos ,TX,13916,25437,65536,36341,25373,20486,18907,12308,6016,2438
Breathitt ,KY,747,1390,1414,1553,1638,1857,1934,1398,592,203
Breckinridge ,KY,1270,2559,2331,2112,2386,2691,3098,2411,1157,373
Bremer ,IA,1423,3186,3893,2571,3005,2841,3142,2569,1558,759
Brevard ,FL,27825,61479,62760,68145,61921,75554,97820,76228,46510,18607
Brewster ,TX,488,974,946,1221,1165,1027,1302,1279,635,230
Briscoe ,TX,65,175,158,161,178,181,201,214,136,47
Bristol ,MA,29376,65748,72325,73128,68405,80294,79282,54634,27133,13697
Bristol ,RI,1951,5305,7159,4880,5299,6851,7608,5160,2836,1600
Bristol Bay Borough,AK,56,88,99,138,96,108,165,83,39,5
Bristol city,VA,851,1877,1696,2139,2044,2167,2232,1907,1150,419
Broadwater ,MT,301,672,616,580,642,795,1039,902,410,128
Bronx ,NY,102439,195003,199733,229981,181379,179334,160888,102014,55534,25827
Brooke ,WV,976,2221,2780,2254,2397,2802,3483,3048,1565,677
Brookings ,SD,2237,3884,10117,4817,3564,3051,3367,2402,1215,578
Brooks ,GA,920,1897,1679,1830,1642,2083,2386,1882,946,248
Brooks ,TX,590,1139,932,891,768,674,817,712,445,146
Broome ,NY,10042,20396,33728,21715,19687,22077,27472,19398,11236,5908
Broomfield ,CO,3722,9330,8172,10531,10291,9556,8073,5820,2672,1100
Broward ,FL,113117,229573,223473,263948,260546,274569,261721,181020,97179,46114
Brown ,IL,289,588,840,1281,1009,885,751,499,283,131
Brown ,IN,579,1572,1556,1426,1568,2162,2703,2327,1022,319
Brown ,KS,609,1421,1045,1023,1035,1072,1425,1104,590,274
Brown ,MN,1407,3147,3386,2667,2715,2762,3784,2625,1621,997
Brown ,NE,131,370,339,258,290,332,477,393,258,125
Brown ,OH,2506,5637,5046,4938,5149,5920,6544,4503,2484,875
Brown ,SD,2659,5304,5146,5371,4574,4333,5182,3620,1984,1143
Brown ,TX,2048,4574,5105,4514,4333,4612,5182,4223,2397,936
Brown ,WI,16897,35223,34648,35786,33220,33660,34811,23235,11157,4741
Brule ,SD,346,791,618,516,574,606,786,513,301,178
Brunswick ,NC,5304,11978,10891,12306,12998,15363,24834,29116,11036,2918
Brunswick ,VA,679,1496,1942,2307,1956,2070,2411,2049,1086,388
Bryan ,GA,2853,6402,4763,5399,5963,4763,3916,2573,1103,374
Bryan ,OK,3054,6158,6298,6691,5439,5482,5593,4796,2733,948
Buchanan ,IA,1386,3141,2479,2423,2565,2499,2920,2121,1159,506
Buchanan ,MO,5563,11110,11444,12552,11103,10722,11802,8058,4278,1939
Buchanan ,VA,841,2134,2111,2397,2487,3090,3452,2768,1553,388
Buckingham ,VA,677,1797,1744,2367,2203,2401,2470,2013,988,339
Bucks ,PA,30738,72646,74413,70217,73564,89864,99693,66471,34134,16455
Buena Vista ,IA,1482,2789,2887,2575,2273,2105,2565,1719,926,553
Buena Vista city,VA,165,704,1163,797,657,741,791,681,396,142
Buffalo ,NE,3476,6302,9361,6703,5884,5047,5645,4117,2034,1046
Buffalo ,SD,248,433,308,278,242,181,186,100,47,13
Buffalo ,WI,707,1544,1388,1384,1402,1700,2098,1656,900,346
Bullitt ,KY,4328,10131,9649,10512,10725,11746,11326,7895,3683,1074
Bulloch ,GA,4466,8507,20637,10862,8192,7872,7900,5437,2586,837
Bullock ,AL,600,1199,1155,1526,1309,1258,1430,948,529,184
Buncombe ,NC,12875,26595,27997,36339,34425,33191,35853,30714,14733,6381
Bureau ,IL,1752,3951,3786,3547,3713,4168,4845,3830,2267,1134
Burke ,GA,1565,3241,2850,2719,2576,2780,3195,2192,981,324
Burke ,NC,4366,9389,11181,10537,10072,12978,13565,10411,5768,2115
Burke ,ND,175,269,210,236,233,208,333,267,111,58
Burleigh ,ND,6551,12232,11900,13844,12354,10707,12370,8541,4320,2454
Burleson ,TX,1138,2239,2035,2093,1931,2308,2890,2181,1049,525
Burlington ,NJ,22802,52732,54262,55853,55208,63674,65452,42480,22728,10193
Burnet ,TX,2662,5688,5357,5165,5205,5555,7285,6376,3148,1101
Burnett ,WI,673,1547,1369,1240,1427,1872,2868,2615,1330,451
Burt ,NE,349,856,685,660,640,757,975,800,489,277
Butler ,AL,1119,2520,2263,2279,2390,2313,2801,2200,1210,585
Butler ,IA,737,1978,1618,1414,1712,1726,2107,1738,966,543
Butler ,KS,4017,9874,8898,7910,8594,8159,9184,5815,2908,1406
Butler ,KY,798,1574,1363,1516,1610,1680,1831,1380,757,263
Butler ,MO,2710,5600,4985,5303,4943,5263,5814,4432,2654,935
Butler ,NE,464,1042,965,836,874,968,1222,906,511,270
Butler ,OH,23019,50871,62612,45361,46130,48432,49777,33268,16207,6701
Butler ,PA,9684,20969,23074,21194,22112,26556,28958,20013,10374,4954
Butte ,CA,12803,25695,40694,30227,25286,24214,29345,25338,12076,5578
Butte ,ID,143,370,299,226,272,261,428,348,193,71
Butte ,SD,653,1388,1104,1182,1124,1131,1592,1235,578,235
Butts ,GA,1401,2800,3111,3489,3171,3320,3139,2286,1079,397
Cabarrus ,NC,13684,30798,26604,26619,30089,30873,24727,16844,8122,2982
Cabell ,WV,5016,10267,15526,11463,10983,10863,11564,10057,5318,2167
Cache ,UT,10796,21512,30354,17655,14906,10215,9621,6933,3711,1365
Caddo ,OK,1993,4028,3649,3886,3399,3466,3675,2715,1581,585
Caddo Parish,LA,16147,32040,29604,33686,29383,28115,32341,24107,12119,5380
Calaveras ,CA,1955,4243,4334,4377,4279,5466,8395,7619,3801,1133
Calcasieu Parish,LA,14511,27974,25833,30024,24967,23660,26086,17750,9093,3214
Caldwell ,KY,738,1602,1431,1466,1432,1613,1781,1492,805,355
Caldwell ,MO,525,1230,1144,936,1007,1155,1309,1008,565,229
Caldwell ,NC,4195,9231,9273,9337,9277,12242,12172,9692,5100,1510
Caldwell ,TX,2759,5580,6882,5818,5354,5336,5308,3701,1786,723
Caldwell Parish,LA,621,1263,1169,1306,1223,1272,1337,1035,549,185
Caledonia ,VT,1451,3264,3937,3193,3388,3926,4789,3946,1705,703
Calhoun ,AL,6580,13707,14777,15059,13646,14303,15958,12076,6060,2111
Calhoun ,AR,237,580,587,624,561,714,837,665,350,122
Calhoun ,FL,715,1727,1559,2111,1922,2019,1903,1472,849,310
Calhoun ,GA,245,652,778,965,1014,884,819,549,290,156
Calhoun ,IL,245,576,494,456,500,657,753,595,382,144
Calhoun ,IA,556,1189,1048,1113,1076,1026,1466,1129,701,395
Calhoun ,MI,8362,17059,17460,16521,15694,16814,18590,13696,7161,3130
Calhoun ,MS,813,1941,1749,1582,1641,1972,2006,1505,868,359
Calhoun ,SC,650,1609,1501,1516,1611,1890,2365,2026,1001,351
Calhoun ,TX,1426,2874,2773,2720,2491,2566,2841,2266,1161,443
Calhoun ,WV,347,779,666,685,821,979,1198,1072,515,192
Callahan ,TX,840,1732,1496,1572,1647,1674,2164,1644,874,351
Callaway ,MO,2449,5287,6396,5932,5507,5787,6227,4392,2112,800
Calloway ,KY,2022,3913,8880,4709,3989,4325,4683,3747,2095,772
Calumet ,WI,2685,7033,5995,5553,6663,7424,7235,4540,2200,831
Calvert ,MD,4944,12171,11818,10612,11017,13818,13936,8222,3887,1578
Camas ,ID,55,170,94,84,154,128,189,167,57,29
Cambria ,PA,6625,14086,16580,13728,14037,16624,20314,16471,8755,4510
Camden ,GA,3845,7291,8253,8744,6066,5903,6256,4650,2119,550
Camden ,MO,2052,4483,4193,4277,4225,5453,8227,8027,3858,1020
Camden ,NJ,30911,64600,61383,70512,64229,67488,68547,45501,22949,10958
Camden ,NC,567,1404,1186,1202,1433,1576,1592,1019,546,185
Cameron ,PA,211,417,433,399,416,575,818,685,352,186
Cameron ,TX,34371,71406,67759,52645,51526,47497,41289,32299,17801,7315
Cameron Parish,LA,359,883,854,882,826,924,1091,676,352,121
Camp ,TX,975,1947,1715,1426,1360,1530,1666,1424,753,237
Campbell ,KY,5431,10603,12574,13869,11300,11596,13230,8604,4150,1795
Campbell ,SD,59,116,133,108,116,158,297,172,150,68
Campbell ,TN,2185,4497,4372,4586,4580,5632,5519,4729,2678,805
Campbell ,VA,2613,6022,6404,7281,6161,7414,8135,6224,3399,1320
Campbell ,WY,3412,7251,5586,6970,6603,5208,6468,3196,1080,366
Canadian ,OK,9889,21686,17182,21280,20992,17629,17019,11459,5428,1883
Candler ,GA,672,1592,1301,1308,1234,1360,1417,1212,566,174
