county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
Beckham,OK,4.574774692,0,24.5
Bedford,VA,1.265870856,0,91.2
Bedford,TN,2.011546276,0,95.1
Bedford,PA,4.176411627,0,49.2
Bee,TX,3.070781514,0,36.2
Belknap,NH,3.262483076,0,150.1
Bell,TX,0.275539782,0,295.2
Bell,KY,3.841425937,0,79.9
Belmont,OH,2.984807331,0,132.3
Beltrami,MN,2.119182843,0,17.7
Ben Hill,GA,5.988023952,0,70.5
Benewah,ID,10.75500108,0,12
Bennington,VT,2.819283902,0,55
Benson,ND,29.27400468,0,4.8
Bent,CO,17.93078716,0,4.3
Benton,MN,2.445645528,0,94.2
Benton,OR,1.074656379,0,126.6
Benton,WA,0.489260727,0.489260727,103
Benton,AR,0.358241892,0,261.2
Benton,IA,7.798791187,0,36.4
Benton,MS,12.10800339,0,21.5
Benton,MO,5.143239212,0,27.1
Benton,TN,6.188118812,0,41.8
Benton,IN,22.86236854,0,21.8
Benzie,MI,11.25745807,0,54.8
Bergen,NJ,0.107272887,0,3884.5
Berkeley,SC,0.438775465,0,161.8
Berkeley,WV,1.678260651,0,324.4
Berks,PA,0.237437198,0,480.4
Berkshire,MA,0.800358561,0,141.6
Bernalillo,NM,0.147249165,0,570.8
Berrien,MI,1.303772466,0,276.2
Berrien,GA,5.155436408,0,42.7
Bertie,NC,10.55576081,0,30.4
Bethel Census Area,AK,5.438920918,0,0.4
Bexar,TX,0.049911308,0,1383.1
Bibb,GA,0.65291625,0,622.8
Bibb,AL,8.930963651,0,36.8
Bienville,LA,7.552299675,0,17.7
Big Horn,MT,7.508071177,0,2.6
Big Horn,WY,8.481764207,0,3.7
Big Stone,MN,20.03606492,0,10.6
Bingham,ID,2.136250027,0,21.8
Black Hawk,IA,0.762032493,0,231.7
Blackford,IN,8.504847763,0,77.3
Bladen,NC,3.056047919,0,40.2
Blaine,ID,8.687719908,0,8.1
Blaine,OK,10.60557853,0,12.9
Blair,PA,0.820822628,0,241.7
Blanco,TX,8.381527114,0,14.8
Bleckley,GA,7.768197001,0,60.5
Bledsoe,TN,13.27668614,0,31.7
Blount,TN,0.751382544,0,220.2
Blount,AL,1.729325909,0,88.9
Blue Earth,MN,1.478131051,0,85.6
Bolivar,MS,6.529972574,0,39
Bollinger,MO,8.24198467,0,20
Bon Homme,SD,14.49065353,0,12.5
Bond,IL,6.087909412,0,46.7
Bonner,ID,2.186318022,0,23.6
Bonneville,ID,0.83989854,0,55.9
Boone,IN,1.473991421,0,133.9
Boone,MO,0.55413021,0,237.3
Boone,AR,2.671511007,0,62.5
Boone,KY,1.497218916,0,482.3
Boone,IA,3.811847221,0,46
Boone,IL,5.602868669,0,193
Boone,WV,4.660483758,0,49.1
Boone,NE,19.26040062,0,8
Bosque,TX,5.35188654,0,18.5
Bossier,LA,0.787159849,0,139.3
Botetourt,VA,2.992309764,0,61.2
Bottineau,ND,15.91849729,0,3.9
Boulder,CO,0.306564152,0,405.6
Bourbon,KY,5.053567819,0,69
Bourbon,KS,6.880418329,0,23.9
Bowie,TX,1.072443563,0,104.6
Bowman,ND,33.06878307,0,2.7
Box Butte,NE,9.273856997,0,10.5
Box Elder,UT,1.784248653,0,8.7
Boyd,KY,8.56201036,0,309.9
Boyd,NE,52.11047421,0,3.9
Boyle,KY,3.326679973,0,157.8
Bracken,KY,12.04383958,0,41.3
Bradford,FL,3.545973547,0,97
Bradford,PA,1.657742486,0,54.6
Bradley,AR,9.291089845,0,17.7
Bradley,TN,0.924983813,0,301
Branch,MI,4.595905049,0,89.4
Brantley,GA,15.69940866,0,41.6
Braxton,WV,7.164863509,0,28.4
Brazoria,TX,0.534382147,0,230.7
Brazos,TX,0.436279236,0,332.8
Breathitt,KY,7.917656374,0,28.2
Breckinridge,KY,9.767055721,0,35.4
Bremer,IA,3.990104541,0,55.7
Brevard,FL,0.166128963,0,535
Brewster,TX,10.86602195,0,1.5
Briscoe,TX,64.68305304,0,1.8
Bristol,MA,0.176923199,0,991.3
Bristol,RI,10.3137441,0,2064
Bristol Bay Borough,AK,119.6172249,0,2
Bristol city,VA,5.965875194,0,1370.6
Broadwater,MT,16.03334937,0,4.7
