,county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
898,DeKalb,Georgia,0.263401541,0.0,2585.7
899,Fayette,Georgia,0.873965443,0.0,548.3
900,Floyd,Georgia,1.015249041,0.0,188.9
908,Noble,Indiana,2.094504021,0.0,115.7
910,Pottawattamie,Iowa,1.072892303,0.0,98.0
915,Jefferson,Louisiana,0.231217615,0.0,1463.1
918,Prince George's,Maryland,0.10997144,0.0,1788.8
934,Hudson,New Jersey,0.14872299,0.0,13731.4
935,Monmouth,New Jersey,0.323208817,0.0,1344.7
937,Union,New Jersey,0.179745875,0.0,5216.1
947,Cuyahoga,Ohio,0.242900819,0.0,2800.0
955,Monroe,Pennsylvania,0.58729907,0.0,279.2
965,Collin,Texas,0.096643569,0.0,930.0
973,Virginia Beach city,Virginia,0.22223506199999998,0.0,1758.9
985,Pierce,Wisconsin,2.338962436,0.0,71.5
1003,San Joaquin,California,0.131208112,0.0,492.6
1010,Ventura,California,0.11820247099999999,0.0,446.7
1017,Gunnison,Colorado,5.72672088,0.0,4.7
1022,Alachua,Florida,0.37168779700000004,0.0,282.7
1025,Collier,Florida,0.7794191770000001,0.0,160.9
1029,Nassau,Florida,1.128349788,0.0,113.0
1031,Pasco,Florida,0.180522685,0.0,622.2
1032,Pinellas,Florida,0.20512904699999998,0.0,3347.5
1035,Charlton,Georgia,7.467144564,0.0,15.7
1046,Kane,Illinois,0.187827642,0.0,990.8
1047,McHenry,Illinois,0.324913735,0.0,511.9
1048,Adams,Indiana,2.7950918189999996,0.0,101.4
1049,Boone,Indiana,1.473991421,0.0,133.9
1060,Orleans,Louisiana,1.281578084,0.0,2029.4
1065,Essex,Massachusetts,0.126737251,0.0,1508.8
1070,Oakland,Michigan,0.07951755099999999,0.0,1385.7
1071,Wayne,Michigan,0.057164318,0.0,2974.4
1072,Anoka,Minnesota,0.280174044,0.0,782.1
1082,Burlington,New Jersey,0.449085998,0.0,561.9
1103,Multnomah,Oregon,0.123023171,0.0,1704.9
1108,Philadelphia,Pennsylvania,0.063128762,0.0,11379.5
1113,Beadle,South Dakota,5.419173034,0.0,13.8
1114,Charles Mix,South Dakota,10.76194576,0.0,8.3
1115,Davison,South Dakota,10.11378003,5.056890013,44.8
1116,Minnehaha,South Dakota,0.517775223,0.0,210.0
1119,Sullivan,Tennessee,0.631520449,0.0,379.4
1123,Dallas,Texas,0.075886468,0.0,2718.0
1126,Montgomery,Texas,0.164638594,0.0,437.5
1127,Tarrant,Texas,0.047562085999999996,0.0,2094.7
1131,Weber,Utah,0.38430055399999996,0.0,401.4
1134,Loudoun,Virginia,0.48363149200000005,0.0,605.8
1143,Skagit,Washington,0.773963856,0.0,67.5
1147,Whatcom,Washington,0.436210725,0.0,95.5
1153,Jefferson,Arkansas,1.496468335,0.0,88.9
1175,Stanislaus,California,0.363200523,0.0,344.2
1186,Pitkin,Colorado,50.65571002,0.0,17.7
1188,New Castle,Delaware,0.178969956,0.0,1263.2
1197,Miami-Dade,Florida,0.036806113,0.0,1315.5
1202,St. Johns,Florida,0.37782614,0.0,316.4
1205,Bartow,Georgia,2.784532848,0.0,217.9
1214,Lee,Georgia,3.334222459,0.0,79.5
1215,Lowndes,Georgia,0.8517452259999999,0.0,220.2
1220,Lake,Illinois,0.143567803,0.0,1585.6
1225,Howard,Indiana,1.211475092,0.0,282.4
1226,Johnson,Indiana,1.896729406,0.0,435.8
1229,St. Joseph,Indiana,0.367882395,0.0,583.0
1236,Caddo,Louisiana,0.416312801,0.0,290.2
1239,Baltimore,Maryland,0.120864909,0.0,1345.5
1253,Olmsted,Minnesota,0.631739875,0.0,220.8
1255,Forrest,Mississippi,1.335166963,0.0,160.7
1266,Middlesex,New Jersey,0.242406025,0.0,2621.6
1270,Bernalillo,New Mexico,0.147249165,0.0,570.8
1271,Santa Fe,New Mexico,0.665079344,0.0,75.5
1272,Socorro,New Mexico,12.02139809,0.0,2.7
1273,Monroe,New York,0.13481267800000002,0.0,1132.6
1283,Ward,North Dakota,1.4783932819999999,0.0,30.6
1285,Stark,Ohio,0.269828335,0.0,652.9
1287,Deschutes,Oregon,0.5058373629999999,0.0,52.3
1291,Linn,Oregon,1.541437699,0.0,50.9
1294,Polk,Oregon,1.161642563,0.0,101.8
1295,Umatilla,Oregon,1.282873637,0.0,23.6
1297,Bucks,Pennsylvania,0.318334474,0.0,1034.7
1305,Lancaster,South Carolina,1.0202832309999998,0.0,139.6
1308,Bon Homme,South Dakota,14.49065353,0.0,12.5
1320,Gregg,Texas,0.8068094720000001,0.0,445.4
1329,Chittenden,Vermont,0.610597531,0.0,291.7
1330,Arlington,Virginia,0.84444482,0.0,7993.6
1336,Island,Washington,1.174522263,0.0,376.6
1345,Thurston,Washington,0.344191426,0.0,349.4
1349,Fond du Lac,Wisconsin,1.9341798590000001,0.0,141.2
1351,Waukesha,Wisconsin,0.2474035,0.0,709.4
1352,Sheridan,Wyoming,3.280301788,0.0,11.5
1353,Anchorage,Alaska,0.347222222,0.0,171.2
1358,Pulaski,Arkansas,1.275799863,0.0,503.8
1381,Tulare,California,0.214502515,0.0,91.7
1384,Adams,Colorado,0.386532437,0.0,378.2
1395,Litchfield,Connecticut,0.554529676,0.0,206.3
1401,Clay,Florida,0.456096182,0.0,315.8
1403,Duval,Florida,0.10441083599999999,0.0,1133.9
1410,Palm Beach,Florida,0.133621064,0.0,670.2
1415,Sarasota,Florida,0.461103605,0.0,682.6
1416,Seminole,Florida,0.211942538,0.0,1367.0
1443,Carroll,Iowa,4.959087528,0.0,36.6
1447,Wyandotte,Kansas,0.604488935,0.604488935,1039.0
1451,Montgomery,Kentucky,3.551514721,0.0,134.3
1455,Androscoggin,Maine,0.923557173,0.0,230.2
1466,Ingham,Michigan,0.341990246,0.0,505.1
1467,Kent,Michigan,0.456652282,0.0,711.5
1468,Montcalm,Michigan,1.565239169,0.0,89.8
1470,St. Clair,Michigan,0.6284249160000001,0.0,226.1
1471,Washtenaw,Michigan,0.544068161,0.0,488.4
1475,Dakota,Minnesota,0.233088823,0.0,709.0
1476,Hennepin,Minnesota,0.078998738,0.0,2081.7
1479,Stearns,Minnesota,1.2416576129999999,0.0,112.2
1481,Greene,Missouri,0.34119678200000003,0.0,407.5
1483,Cass,Nebraska,3.8098140810000003,0.0,45.3
1487,Carson City,Nevada,1.788396881,0.0,382.1
1493,Essex,New Jersey,0.125160362,0.0,6211.5
1497,Morris,New Jersey,0.203316085,0.0,1069.8
1503,Albany,New York,0.654651627,0.0,581.9
1504,Delaware,New York,2.2657754619999997,0.0,33.3
1505,Dutchess,New York,0.339884032,0.0,373.9
1506,Herkimer,New York,1.630815897,0.0,45.7
1510,Orange,New York,0.259780745,0.0,459.3
1516,Cabarrus,North Carolina,0.461994059,0.0,492.1
1518,Forsyth,North Carolina,0.523156201,0.0,859.2
1519,Johnston,North Carolina,0.477694075,0.0,213.4
1520,Mecklenburg,North Carolina,0.180122411,0.0,1755.5
1521,Onslow,North Carolina,0.505208702,0.0,233.1
1526,Trumbull,Ohio,0.505116834,0.0,340.1
1528,Clackamas,Oregon,0.23912747199999998,0.0,201.0
1543,Northampton,Pennsylvania,0.327562769,0.0,805.4
1545,Pike,Pennsylvania,1.7918256909999999,0.0,105.3
1557,Knox,Tennessee,0.21262435899999999,0.0,850.5
1577,Hanover,Virginia,0.927936455,0.0,213.1
1578,James City,Virginia,3.920389948,0.0,470.4
1580,Prince Edward,Virginia,4.385580212,0.0,66.8
1581,Prince William,Virginia,0.212614413,0.0,1195.0
1582,Alexandria city,Virginia,0.627242392,0.0,9314.3
1586,Columbia,Washington,25.09410289,0.0,4.7
1587,Grays Harbor,Washington,1.33224977,0.0,38.3
1600,Yakima,Washington,0.7972161209999999,0.0,56.6
1606,Elmore,Alabama,1.231390609,0.0,128.2
1607,Jefferson,Alabama,0.303686911,0.0,592.5
1608,Limestone,Alabama,1.010969014,0.0,147.8
1609,Montgomery,Alabama,0.441528395,0.0,292.5
1610,Tuscaloosa,Alabama,0.477657567,0.0,147.3
1629,San Benito,California,1.5921538659999999,0.0,39.8
1645,Clear Creek,Colorado,10.30927835,0.0,23.0
1654,Pueblo,Colorado,0.59373961,0.0,66.7
1655,Routt,Colorado,3.900460254,0.0,10.0
1656,Summit,Colorado,6.449324432999999,0.0,46.0
1657,Weld,Colorado,0.30817400699999997,0.0,63.4
1674,Orange,Florida,0.071764223,0.0,1268.5
1675,Osceola,Florida,0.26613369,0.0,202.4
1692,Gordon,Georgia,3.4504770280000003,0.0,155.1
1694,Henry,Georgia,0.42632833299999995,0.0,633.0
1699,Ada,Idaho,0.20764680100000002,0.0,372.8
1713,Harrison,Iowa,7.117944337999999,0.0,21.4
1716,Butler,Kansas,1.494522575,0.0,46.1
1726,St. Charles,Louisiana,1.883239171,0.0,189.1
1727,St. Tammany,Louisiana,0.7679931190000001,0.0,276.4
1728,Terrebonne,Louisiana,0.9052968920000001,0.0,90.8
1730,Cumberland,Maine,0.338979604,0.0,337.2
1731,Anne Arundel,Maryland,0.17264179899999998,0.0,1295.9
1733,Charles,Maryland,0.612531163,0.0,320.2
1743,Bay,Michigan,0.969687567,0.0,243.7
1744,Charlevoix,Michigan,3.82511571,0.0,62.3
1747,Leelanau,Michigan,4.595377051,0.0,62.5
1748,Macomb,Michigan,0.11442014199999999,0.0,1754.9
1761,Wright,Minnesota,0.7226634479999999,0.0,188.5
1762,Copiah,Mississippi,3.563156957,0.0,37.9
1764,Leflore,Mississippi,3.5482383,0.0,54.5
1765,Pearl River,Mississippi,1.8006662469999999,0.0,68.9
1767,Henry,Missouri,4.582111437,0.0,32.0
1769,Gallatin,Montana,0.8738661590000001,0.0,34.4
1770,Lewis and Clark,Montana,1.440258094,0.0,18.3
1771,Silver Bow,Montana,2.864098525,0.0,47.6
1772,Yellowstone,Montana,0.619962802,0.0,56.2
1788,Ocean,New Jersey,0.164694179,0.0,917.0
1804,Schenectady,New York,0.64391915,0.0,756.6
1815,Wayne,North Carolina,0.812143165,0.0,221.7
1820,Oklahoma,Oklahoma,0.125402228,0.0,1013.8
1834,Chester,Pennsylvania,0.19048018100000003,0.0,664.7
1835,Cumberland,Pennsylvania,1.184039152,0.0,431.6
1842,Washington,Pennsylvania,0.483407053,0.0,242.5
1852,McCook,South Dakota,17.9018976,0.0,9.8
1855,Hamilton,Tennessee,0.271883938,0.0,620.3
1856,Jefferson,Tennessee,1.8350307369999999,0.0,187.6
1858,Rutherford,Tennessee,0.300946477,0.0,424.0
1862,Bell,Texas,0.275539782,0.0,295.2
1866,El Paso,Texas,0.11915571,0.0,790.6
1868,Galveston,Texas,0.292278869,0.0,769.9
1872,Smith,Texas,1.288931089,0.0,227.6
1874,Travis,Texas,0.313983079,0.0,1034.4
1889,Harrisonburg city,Virginia,1.8862230269999998,0.0,2808.2
1894,Grant,Washington,1.02319585,0.0,33.3
1911,Milwaukee,Wisconsin,0.211477743,0.0,3926.0
1913,Racine,Wisconsin,0.509395806,0.0,587.7
1914,Sheboygan,Wisconsin,2.601005722,0.0,225.9
1916,Fremont,Wyoming,2.547056876,0.0,4.4
1918,Baldwin,Alabama,0.447960436,0.0,114.6
1925,Graham,Arizona,2.5748641759999997,0.0,8.1
1947,San Luis Obispo,California,0.353218349,0.0,81.7
1960,Boulder,Colorado,0.306564152,0.0,405.6
1969,Mesa,Colorado,0.648466377,0.0,44.1
1976,Hartford,Connecticut,0.112142825,0.0,1216.2
1978,New Haven,Connecticut,0.116992315,0.0,1426.7
2007,Coweta,Georgia,1.346719727,0.0,288.8
2019,Kauai,Hawaii,2.76651958,0.0,108.2
2021,Blaine,Idaho,8.687719908,0.0,8.1
2022,Teton,Idaho,8.235875474,0.0,22.6
2024,Cumberland,Illinois,9.288500836,0.0,31.9
2025,DuPage,Illinois,0.108351636,0.0,2799.8
2029,St. Clair,Illinois,0.7701608870000001,0.0,410.6
2030,Sangamon,Illinois,1.027369113,0.0,227.4
2031,Woodford,Illinois,2.600171611,0.0,73.3
2037,LaPorte,Indiana,0.910017472,0.0,186.3
2041,Wells,Indiana,3.53406842,0.0,75.1
2043,Dallas,Iowa,1.0700566059999999,0.0,112.4
2048,Franklin,Kansas,3.914813655,0.0,45.5
2051,Bourbon,Kentucky,5.0535678189999995,0.0,69.0
2056,Nelson,Kentucky,2.162957195,0.0,104.0
2057,Bossier,Louisiana,0.787159849,0.0,139.3
2060,Lafourche,Louisiana,1.024443215,0.0,90.2
2063,St. John the Baptist,Louisiana,2.334430516,0.0,215.5
2070,Carroll,Maryland,0.593658539,0.0,373.4
2075,Barnstable,Massachusetts,0.469505611,0.0,548.3
2077,Bristol,Massachusetts,0.17692319899999998,0.0,991.3
2089,Monroe,Michigan,0.664451827,0.0,276.7
2101,Renville,Minnesota,6.873797086000001,0.0,16.0
2113,Missoula,Montana,1.6722408030000002,0.0,42.1
2128,Mercer,New Jersey,0.272160684,0.0,1632.2
2136,Sandoval,New Mexico,1.362880584,0.0,35.5
2140,Broome,New York,0.5249674520000001,0.0,284.2
2152,Tioga,New York,2.074559675,0.0,98.6
2153,Tompkins,New York,0.9786651009999999,0.0,214.0
2156,Brunswick,North Carolina,0.7001820470000001,0.0,126.8
2159,Craven,North Carolina,0.97905795,0.0,146.0
2161,Harnett,North Carolina,1.4708477969999998,0.0,192.7
2168,Belmont,Ohio,2.9848073310000003,0.0,132.3
2169,Butler,Ohio,1.044021152,0.0,788.2
2171,Franklin,Ohio,0.07594421400000001,0.0,2186.1
2172,Lorain,Ohio,0.322754516,0.0,613.6
2174,Summit,Ohio,0.369676884,0.0,1312.6
2176,Tuscarawas,Ohio,1.087110135,0.0,163.1
2177,Jackson,Oklahoma,4.076640848,0.0,32.9
2191,Allegheny,Pennsylvania,0.08223379900000001,0.0,1675.6
2203,Beaufort,South Carolina,1.5615077919999998,0.0,281.5
2207,Lexington,South Carolina,0.334728033,0.0,375.4
2215,Campbell,Tennessee,2.5099141609999998,0.0,84.8
2226,Brazoria,Texas,0.5343821470000001,0.0,230.7
