county,state,county_state,lat,long,totalpop,total_votes20,votes20_donald_trump,votes20_joe_biden,percentage20_donald_trump,percentage20_joe_biden,cases,deaths,men,women,hispanic,white,black,native,asian,pacific,income,incomepercap,poverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010,age_oto4,age_5to14,age_15to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_84plus,evangelicals,protestant,catholic,orthodox,muslim,other
Adams,MS,"Adams, MS",31.47669768,-91.35326037,31583,12268,5222,6914,0.426,0.564,1122,45,15680,15903,8.4,36.9,52.8,0.2,0.6,0,30359,17721,34.2,30.5,20.6,23.6,13,12.3,87.2,6.5,0.7,0.6,1.2,3.7,18.9,10190,75.2,18.2,6.4,0.1,10.9,3.258071873,0,69.8,1821,3382,3405,4137,4135,3659,4779,3399,1736,739,0,0,0,0,0,0
Adams,WA,"Adams, WA",46.98299757,-118.5601734,19261,5109,3449,1562,0.675,0.306,935,11,9750,9511,62.3,35.2,0.3,0.4,1,0,48131,18415,23.1,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757,81.2,14.6,3.8,0.3,5.9,5.004253616,0,9.7,1907,4068,2979,2478,2204,1988,1950,1336,607,242,0,0,0,0,0,0
Adams,ID,"Adams, ID",44.89333571,-116.4545247,3946,2586,1941,591,0.751,0.229,65,2,2021,1925,3.3,92.7,0.3,1.2,0,0.2,42727,24315,13.8,33.1,19.4,21.2,13.9,12.5,69,13.1,0.8,4.4,1.8,10.9,24.1,1539,65.4,22,12.5,0,8.7,23.28830927,0,2.9,169,453,327,359,384,434,903,771,350,100,0,0,0,0,0,0
Adams,WI,"Adams, WI",43.96974651,-89.76782777,20111,11818,7362,4329,0.623,0.366,587,5,10770,9341,3.8,90.7,2.7,0.6,0.5,0,44003,24874,13,23.6,22.7,21.8,12.5,19.4,78.5,12.2,0.1,1.5,1.7,6,28.3,7530,80.7,11.9,7.3,0.2,8.1,4.945598417,0,32.3,693,1692,1676,1958,1957,2513,3936,3521,1883,519,0,0,0,0,0,0
Adams,OH,"Adams, OH",38.84541072,-83.4718964,27926,11905,9660,2130,0.811,0.179,270,6,13960,13966,1,96.6,0.4,0.6,0.2,0,36320,20248,23.8,28.3,18.9,16.7,13.6,22.5,80.8,11.5,0.5,1.3,1.2,4.8,36.5,10124,79.1,13,7.7,0.2,7.5,3.61036898,0,48.9,1651,3751,3247,3064,3234,3727,4079,2911,1573,487,0,0,0,0,0,0
Adams,IA,"Adams, IA",41.02903567,-94.69932645,3785,2158,1528,590,0.708,0.273,87,1,1870,1915,1.2,96.8,0.4,0.1,0.6,0,49745,27022,11.2,37.4,14.3,17,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796,72,12.1,15.5,0.3,4.2,27.76235425,0,9.5,212,437,347,398,369,411,630,447,279,115,0,0,0,0,0,0
Addison,VT,"Addison, VT",44.03217337,-73.14130877,36825,870,379,445,0.436,0.511,124,2,18214,18611,2.2,93,0.9,0.3,1.9,0,61875,31051,7.8,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872,77.9,10.3,11.5,0.3,4.4,2.719090736,0,48,1572,3500,6249,3770,3951,4839,5735,4554,1996,807,0,0,0,0,0,0
Aiken,SC,"Aiken, SC",33.54338026,-81.63645384,165707,85185,51589,32275,0.606,0.379,5140,87,80260,85447,5.5,66.7,24.5,0.2,1,0,47713,26222,16.7,34,16.9,22.9,10.7,15.5,84.6,10.4,0.2,1,0.9,2.9,24.9,70753,78.1,16.4,5,0.4,9,0.585233391,0,149.5,9800,20628,19598,21516,19467,21230,24261,19588,9811,3502,0,0,0,0,0,0
Aitkin,MN,"Aitkin, MN",46.60962049,-93.4116826,15841,10010,6258,3607,0.625,0.36,232,3,8079,7762,1.3,94.1,0.5,2.2,0.4,0,45860,26883,12.1,30.7,19.9,23.1,13.2,13,79.4,9.1,0.5,4.1,1.5,5.4,26,6274,75.8,15.7,8.4,0.1,6.2,6.294850812,0,8.9,594,1595,1299,1221,1319,1720,2903,2978,1738,535,0,0,0,0,0,0
Alachua,FL,"Alachua, FL",29.67866525,-82.35928158,259865,142784,50891,89527,0.356,0.627,10706,78,125712,134153,9.3,62,19.8,0.3,5.9,0.1,45478,26431,23.3,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466,70.2,25.5,4.2,0.1,6.6,0.371687797,0,282.7,14113,26947,63759,42246,29470,26331,29254,22747,10490,4599,0,0,0,0,0,0
Alamance,NC,"Alamance, NC",36.0434701,-79.39976137,157844,84710,45490,38186,0.537,0.451,5409,88,75078,82766,12.3,65,18.9,0.3,1.5,0,44281,25157,17.6,33,17.4,23,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906,81,13.2,5.6,0.2,6,1.769817532,0,356.5,9632,20795,23870,20725,19106,22391,21790,15811,8636,3680,0,0,0,0,0,0
